Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Phase Difference
-35,6497.487847784129,9717.636598444698,87779.58727579424,-0.6114097971383634
-34,6784.574440728674,9610.06074141134,87063.44679482919,-0.6311294136357226
-33,6679.585014384131,9586.956667520764,86352.46719669148,-0.6006946983264978
-32,6815.997912976372,9460.753276448251,86034.24533324846,-0.5905666711174993
-31,6270.6113257492125,8738.31974251163,79783.13862738326,-0.5941750433033581
-30,6883.449521023817,9337.073582510293,84962.85339038866,-0.575381861868367
-29,6434.566455338263,8707.854657469441,78930.6438999942,-0.5701025949802867
-28,6798.623188475462,9165.508958962851,83781.78524595064,-0.5787846333412547
-27,6709.773542821811,9133.920905882553,83336.73940955252,-0.5687988060543203
-26,6128.040777248943,8287.25652343935,77568.82627529012,-0.5799027046407481
-25,6566.24397069585,9116.583086710283,82337.23880203071,-0.5635500214352138
-24,6175.7861980143525,8905.846725460398,81823.41292107399,-0.6136972805925698
-23,6261.731558306996,8866.518809008885,81609.64656519068,-0.6167959429168492
-22,5946.091134342536,8844.554149176793,81193.47276248208,-0.6387950826691275
-21,5864.589879238595,8871.524703439902,80757.7866968842,-0.6578331899731484
-20,5431.925751956224,8768.98753783235,80299.04427735509,-0.6840237540437988
-19,5115.698100505103,8675.462257534979,80187.94553354743,-0.6984583973164655
-18,5037.495278394641,8703.36624374421,79719.30583165023,-0.7250798800641665
-17,4301.5596185986,7992.154690255187,74346.27315124487,-0.7636463953608668
-16,4577.29955804386,8568.441511667346,78979.34198879477,-0.7732877616944842
-15,4304.130369853037,8566.683335629888,78668.73414537964,-0.8382551667650668
-14,4048.594050061394,8452.409062807916,78462.30886107557,-0.9110160491445978
-13,3834.905444668691,8563.446842551302,78096.76230626009,-0.9572752124998516
-12,3446.512782189924,8376.219149530605,77991.33529693597,-1.0739968083352114
-11,3217.116940673323,8370.565841455063,77654.97824396692,-1.1038333050733562
-10,3152.37616323411,8395.404049957513,77478.4609824339,-1.218966946988827
-9,3047.1586069417904,8437.050261051176,77523.91536499829,-1.3552265418204177
-8,2885.6162881354885,8310.565890662367,77064.5865822595,-1.5239544609898323
-7,2825.802296520648,8183.153113739251,77158.52799353731,-1.6454602504243572
-6,3016.3632422407427,8143.240906599637,76864.3965715148,-1.8497293686199436
-5,3008.514588279434,8211.35496405497,76786.48928564061,-1.9385497738418591
-4,3138.525900010624,8193.272439099805,76633.06572780511,-2.0895615727946533
-3,3408.8097701433003,8230.97448610903,76724.67957580526,-2.240617965261741
-2,3657.348687095881,8330.885457355977,76906.67517583701,-2.349243803635627
-1,4035.9752051680352,8093.765972837064,76831.43918071699,-2.415017860801192
0,4052.035017777239,8080.468142726629,76947.13591554288,-2.5080382995975565
1,4945.561749201601,8039.393524069062,77116.44723321203,-2.6053742695350097
2,5242.60016026668,8139.826867623315,77241.7801703321,-2.7000913826573143
3,5789.29671139482,8051.330423657954,77566.45190766655,-2.731695189782514
4,6133.261207547033,8252.231536216428,77595.48443959796,-2.764065746667108
5,6279.315093376016,7702.955188268466,73046.41752938328,-2.830432087435515
6,6891.238457514613,7630.145920084356,73221.22791866685,-2.853887191573364
7,7347.217446426301,7852.70630443052,73281.48328773971,-2.8660226072471224
8,8306.955186550385,8229.04621161862,78681.51228018414,-2.8925868299082924
9,8673.265101218958,8399.394513531739,78518.84479603542,-2.9169982644950108
10,9689.798439702532,8139.50264762107,79036.78540319433,-2.951686439516211
11,10205.837898936452,8284.971593805774,79582.30265389408,-2.9605117141353183
12,10863.25406043488,8246.464131289611,79942.17583694357,-2.975646546953783
13,11444.092342723625,8346.098917018106,80185.20957904255,-2.9859900192088222
14,12136.675189336516,8120.9730069074685,80654.24521117796,-3.0108775020292198
15,12840.209502604628,8526.873652520717,81378.64521575092,-3.0129335338288312
16,13771.950270593745,8360.69754323564,82112.94785347903,-3.0270780672844424
17,14546.964796848755,8511.871473136127,82826.77242552643,-3.04073244023246
18,15326.611888394704,8495.402219511949,83469.82028888329,-3.0544014828104995
19,16254.540133161958,8473.11240051868,84267.71839349731,-3.054809000107319
20,16965.051582238655,8416.830561791183,85275.05663455937,-3.06953230629122
21,17816.65274841828,8762.228630616715,86079.7167798598,-3.0760084769774374
22,18566.005863556475,8592.931990935092,87158.51178551832,-3.08217197998472
23,19441.719571207203,8826.838132050427,88189.6485578769,-3.0859561001765328
24,20401.16956227333,8973.317211590012,89158.44577902785,-3.096330157299823
25,21492.55098903724,9047.563756663263,90745.95409292456,-3.0992657539895028
26,22484.74062912298,9222.275452925158,92205.0947705874,-3.100613436254456
27,23515.306866606366,9222.811527915926,93259.56525494816,-3.1090102239972817
28,24659.413040675627,9478.801206192087,95297.23410473968,-3.1108218616518197
29,25342.551738303697,9587.622562829063,96452.75694812289,-3.115547881365873
30,26160.33054945847,9644.80025765705,98028.92188776712,-3.1221324728299145
31,27295.72866073345,9754.410650034675,99659.0707936926,-3.1191330036838902
32,28137.2025383326,9937.264420389838,101591.23249183128,-3.121059381350511
33,29136.58160343939,10146.86668604041,103445.49237588773,-3.128856761352686
34,29869.92486573684,10478.869869876418,105477.98362475193,-3.1209460822820274
35,31116.634979507897,10869.344053147017,108562.7778369428,-3.125666080621521
