Index,angle,c_angle,error,by,bz
0,-35,-34,1,11334.343497475666,104339.21724031286
1,-34,-33,1,11148.369801492632,103383.08826005516
2,-33,-31,2,10881.682020513474,102251.1849786832
3,-32,-31,1,10872.122646273116,101322.16897556238
4,-31,-30,1,10734.229115156382,100233.12182076513
5,-30,-29,1,10602.593046621612,99327.80634254686
6,-29,-28,1,10516.829333063668,98383.2964070996
7,-28,-27,1,10439.74864971167,97600.3360238348
8,-27,-26,1,10273.904509865137,96371.4450790988
9,-26,-25,1,10175.306893583354,95624.55352880809
10,-25,-18,7,9515.562202494517,88908.87417356782
11,-24,-23,1,9964.893351022947,93922.0406632127
12,-23,-22,1,9988.42752217482,93300.71821306393
13,-22,-20,2,9553.421860351467,92538.61746735082
14,-21,-19,2,9701.546495344155,92077.92126426048
15,-20,-11,9,9009.673994759214,85513.4085381112
16,-19,-11,8,8923.073850143153,85408.92827435218
17,-18,-17,1,9431.509241538395,90447.3547832855
18,-17,-15,2,9291.414953768057,89924.04018454788
19,-16,-15,1,9235.931717873036,89453.74055981169
20,-15,-16,-1,9435.77044709724,89021.29853406461
21,-14,-12,2,9198.530899486765,88555.77016938094
22,-13,-12,1,9161.729207622544,88158.56123545354
23,-12,-12,0,9162.613784162872,87717.46806124883
24,-11,-10,1,9132.229044307203,87488.13939284679
25,-10,-9,1,9021.727523672263,87174.49288537893
26,-9,-7,2,8894.524125850261,86654.03210944227
27,-8,-9,-1,9046.660336523286,86468.86678287384
28,-7,-7,0,8888.146158620348,86177.34628208971
29,-6,-6,0,8901.301372681803,85976.87673062045
30,-5,-4,1,8806.823618017772,85871.66979029594
31,-4,-4,0,8776.718330883243,85860.04692372808
32,-3,-3,0,8880.013269733261,85695.42790288801
33,-2,-1,1,8808.02051668814,85217.86686537162
34,-1,0,1,8571.918128950801,85432.42532288919
35,0,0,0,8769.875876455128,85469.51021671822
36,1,2,1,8666.809192655455,85377.06239788256
37,2,2,0,8659.331691410272,85655.78320962477
38,3,4,1,8592.44634595696,85668.54696732217
39,4,4,0,8595.92571394662,86040.80787256325
40,5,5,0,7943.272803861806,80511.4824158582
41,6,6,0,8644.327306208585,86299.83744929817
42,7,5,-2,8127.893908005861,81310.47289511
43,8,8,0,8616.62819268719,86857.40873265485
44,9,9,0,8620.83768165959,87118.90373547802
45,10,11,1,8516.088049498198,87796.51186018999
46,11,11,0,8723.771000412968,88074.89396240539
47,12,10,-2,8064.672104056985,82715.76197354562
48,13,10,-3,8233.027586866918,83053.45876705316
49,14,14,0,8733.011511208504,89295.061798791
50,15,15,0,8813.06419363454,89777.35713105413
51,16,16,0,8723.393521928792,90396.56003500524
52,17,18,1,8866.959782411916,91159.47979723374
53,18,18,0,8870.346100658122,91731.9548012798
54,19,19,0,8805.497945700143,92799.5393860235
55,20,19,-1,8875.04942502917,93684.46817060518
56,21,19,-2,8820.785896792548,94476.14030289811
57,22,23,1,8769.836834528425,95503.49053164964
58,23,23,0,9029.21499695108,96765.34233322466
59,24,24,0,9000.859933278158,97928.99321308658
60,25,25,0,9245.729103696523,99469.93864267447
61,26,26,0,9074.2034911449,100722.64541616935
62,27,23,-4,8541.151781768413,95603.60659893762
63,28,28,0,9308.833971104374,104364.86875963848
64,29,29,0,9465.513350736946,105841.37104277057
65,30,31,1,9734.658017377413,107908.42956695284
66,31,31,0,9645.25340613054,109950.28122354687
67,32,32,0,9931.211050922137,112333.5193504458
68,33,34,1,9402.083149715869,107418.77512203448
69,34,33,-1,10251.71966493365,117317.0813717992
70,35,33,-2,10389.86954070182,120814.335005334
