Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Phase Difference
-35,26.228089816087003,37.381027982008135,296.1526123147803,1.0299024621667277
-34,26.116487441655476,36.96014847671782,293.2831400956871,1.0301300480491102
-33,25.828628104284007,36.59438167537373,291.1110755255957,1.041949344832891
-32,25.3159466623306,36.51409272306026,289.2333575571112,1.0265023641992814
-31,25.075739375667183,36.12421451338688,286.9775755759898,1.0287800022907791
-30,25.33454470845136,35.512427015628994,284.81385955543607,1.0425514609012652
-29,24.494092613677125,35.49871584627688,282.7958509677586,1.0388325102324885
-28,23.64758901718216,34.93620078220151,281.5131386954385,1.0266407505831054
-27,23.09102950834172,35.06277394941515,278.35685291968684,1.0218544190992145
-26,22.270847160383852,34.590649290124894,277.0462509212478,0.9873353396550032
-25,22.080008790146206,34.25222648649518,275.5768514172578,0.9680979824311852
-24,21.006949608505227,34.176221312443836,273.9061035973778,0.9845621594329197
-23,20.697199552653135,33.79473188217775,272.23823203647163,0.947547211671712
-22,20.073377368255326,33.694037732426565,270.66601281574,0.9363583012585286
-21,18.800637059891056,33.812764791768906,269.25553369351115,0.9165343347126228
-20,18.17578934667654,33.88521986491708,267.7927587403338,0.8964528087847793
-19,17.152004419268987,33.11258930501171,267.08681456725134,0.8624617231763935
-18,16.22368423167569,33.205176743613634,265.9985212910842,0.8445292919468556
-17,15.684501010412859,32.6820938292315,264.3709389448931,0.8141206969893183
-16,15.187014800989537,32.72043511218907,263.3419318155216,0.7551364803264761
-15,14.103685403065052,32.421351276854246,262.0098556695712,0.7050803321097944
-14,13.74499519060106,32.429562676809844,261.3977262750813,0.6383674831903559
-13,12.768859559572215,32.23044441009185,260.6899798776887,0.5903767842114781
-12,11.748148459591539,32.18048717120541,260.09377908512295,0.5406438606207553
-11,11.265108787527607,31.949733165958047,259.7431921551502,0.46561596821759627
-10,11.082829585546394,31.821968410542933,259.2028810682223,0.37121432961779366
-9,10.281443100252929,32.01067016748368,258.0117850131797,0.2790030488857151
-8,9.975602513137739,31.869999578582945,257.64190843697287,0.14719738982466266
-7,9.291123106664967,32.26135588206488,257.37186516657084,0.028777366205008165
-6,9.530955465879387,31.80526071215152,256.708896198021,-0.0945586880708361
-5,9.832525250219568,31.66217320466969,256.60472418214493,-0.24302399150980736
-4,9.800638787279492,31.51279926553737,256.26230531412665,-0.30834288312488206
-3,9.86590466450307,31.683911625050104,256.1289386519384,-0.4627124357822277
-2,10.708151887065618,31.519682367013914,256.4530522987652,-0.5717962334475994
-1,11.327224991272308,31.58706540347497,256.35356173113047,-0.6882558728012104
0,11.485182684001103,31.75967095487569,256.8397658991133,-0.7109553306332016
1,12.835474874055484,31.764544844239538,257.1529244869859,-0.8357650081176579
2,13.80369645251058,31.612547800867816,257.65491752711546,-0.9178117770822638
3,14.573255447958482,31.58985628564451,257.54430909892056,-0.9604999528921389
4,15.528269727892058,31.791967198618266,258.2857066572347,-0.9821823822424274
5,16.79093787930103,31.876424885302338,258.93887177799024,-1.0641383356777852
6,17.83268726413087,31.92607707878339,259.1156797832486,-1.0818594093274774
7,18.935302953273837,31.483258443310792,260.1967994065837,-1.1197386153813131
8,20.139499173055764,32.101506173744816,260.89648413758323,-1.161180969792874
9,20.976359814645594,32.036497429656855,261.0650186492458,-1.1974936609213058
10,22.346640431598512,32.14610299118414,262.538286380133,-1.2178156367210258
11,23.092111016480757,32.33121366479129,263.78837698221633,-1.2488452427452044
12,24.43995752307096,32.14152171189212,264.3932480698563,-1.2733676925260253
13,25.78592271838862,32.60321921709626,265.58313423493524,-1.278776741653024
14,26.708654982291876,32.347297032244484,266.98579883932723,-1.3020349048229847
15,28.202051307700454,32.81069822547385,268.49176793786756,-1.305671866331373
16,29.342186988817076,32.965856025562,270.074139366161,-1.3238495690436733
17,30.83422937404622,32.95955476867106,271.76004009799277,-1.343932906030439
18,31.842329580339964,33.33527001020752,273.46043095041483,-1.3558633305595782
19,33.51559532196444,33.21041183913607,275.52344006877314,-1.3730945129278804
20,34.42868113468149,33.593485546069125,277.3856362348244,-1.3766203871360403
21,35.60801051653386,34.24500412990042,279.12824225080794,-1.3823909710878561
22,36.575965491987766,34.132959965221666,281.3945488466195,-1.385365661160072
23,37.44172047500458,34.648277298530864,283.3365545144656,-1.3918402493520476
24,38.39987319827224,34.861014770664404,286.0923904888623,-1.4104495374412895
25,39.76807429466429,35.187048165436444,289.14716550191054,-1.402921261889533
26,40.85810958906716,35.4512177630473,291.41876938187426,-1.4215924567863487
27,41.82048139701199,35.84171601512526,294.07142966258294,-1.4158868348046807
28,42.64127860919735,36.59093697478558,297.6112458173222,-1.4219764585365793
29,43.457565240801735,36.748672946941205,299.5036022764002,-1.4237967897153985
30,44.108453985663324,36.99399968957509,302.89948112110574,-1.4355729926977185
31,44.550693679918574,36.968629217644256,306.0520068811013,-1.4195887981713664
32,45.149398423654965,37.78161792048096,308.4302856762583,-1.420564438006389
33,45.729476075966346,37.9058602660665,311.75203911219023,-1.4209215415839191
34,45.47242107114138,38.36665304655278,315.7536174360041,-1.4189260924509188
35,46.1146593131939,38.968616332314625,319.2824689913186,-1.4203478074155111
