Index,angle,c_angle,error,by,bz
0,-35,-9,26,5321.753490970366,50781.46786502669
1,-34,-9,25,5334.925037225631,51958.26745087902
2,-33,-9,24,5445.453183947025,52806.28204225509
3,-32,-9,23,5384.528198957007,53861.15365622611
4,-31,-9,22,5570.990370905221,54790.36672838598
5,-30,-9,21,5513.995206786847,55689.2396277623
6,-29,-9,20,6022.678339991109,56836.75102723785
7,-28,-9,19,5887.474559197528,57528.067009803206
8,-27,-9,18,5980.229104913049,58210.33233771112
9,-26,-9,17,6068.089965337927,58632.40521443557
10,-25,-9,16,6057.085797127073,59665.31177771707
11,-24,-9,15,6390.60783872505,60218.10062308798
12,-23,-9,14,6267.748169809753,60689.51398959749
13,-22,-9,13,6402.539000068391,61176.91698133464
14,-21,-9,12,6189.451059423509,61591.30543856387
15,-20,-9,11,6356.00844990767,61911.66083940239
16,-19,-9,10,6435.81336629773,62466.57762937579
17,-18,-9,9,6380.439949628592,62804.50925046844
18,-17,-9,8,6327.7428933655765,63189.97617062984
19,-16,-9,7,6612.811938085961,63495.25177648298
20,-15,-9,6,6525.023864433663,63978.040965346016
21,-14,-9,5,6623.185407194326,64237.63814818901
22,-13,-9,4,6585.114560292041,64582.49049357077
23,-12,-9,3,6637.217261242327,64815.68638525043
24,-11,-9,2,6554.333668288459,65172.65012817748
25,-10,-9,1,6651.670969018815,65441.91109179593
26,-9,-9,0,6712.586015526006,65716.49122245707
27,-8,-9,-1,6677.200155183514,66090.39399856402
28,-7,-9,-2,6698.255847465891,66129.95967180093
29,-6,-9,-3,6954.242218272138,66512.00738190516
30,-5,-9,-4,6749.058750412834,66646.97425062193
31,-4,-9,-5,6774.435531533359,66974.94702688957
32,-3,-9,-6,6698.02970999872,66938.71310943639
33,-2,-9,-7,6793.380673076322,67296.72645790242
34,-1,-9,-8,6748.707804393652,67526.74528510883
35,0,-9,-9,6854.352201734002,67813.28471634511
36,1,-9,-10,6463.425957765807,63772.77647166311
37,2,-9,-11,6941.375887642492,68472.5462123944
38,3,-9,-12,6935.213551031919,68880.91711079022
39,4,-9,-13,6823.949572485936,69144.02185513437
40,5,-9,-14,6847.72072345584,69570.61174892388
41,6,-9,-15,7009.1633905979415,70128.64860611751
42,7,-9,-16,6914.589871696512,70440.75913456
43,8,-9,-17,6914.004581020002,71088.32232242955
44,9,-8,-17,7252.320399602593,71670.37912437126
45,10,-7,-17,6973.01277013974,71926.36049994871
46,11,-17,-28,7137.201223853494,72655.26647319415
47,12,-24,-36,7198.3924837165705,73166.92557501607
48,13,9,-4,7087.677120962145,73801.42673890493
49,14,12,-2,7286.459774846385,74475.0945254503
50,15,13,-2,7329.125566792037,75108.35624682276
51,16,14,-2,7325.02040680076,75813.40258637849
52,17,15,-2,7333.547090423053,76689.72072795073
53,18,16,-2,7573.693996015585,77335.13481380767
54,19,17,-2,7357.541194392289,78148.29426446855
55,20,19,-1,7707.436019769483,79172.81205501413
56,21,-26,-47,7226.22477084785,74962.3472595875
57,22,14,-8,7328.683999642166,75954.54704422623
58,23,22,-1,7870.896755179066,81801.59091557057
59,24,24,0,7796.688404830744,83443.64292039158
60,25,24,-1,8019.116561227652,84305.57388059779
61,26,25,-1,8028.697470785326,85529.94987819897
62,27,26,-1,8179.329470099019,87092.05151049022
63,28,27,-1,8226.799920060961,88789.50957695517
64,29,28,-1,8206.90712941158,90110.11556947172
65,30,29,-1,8398.322727019726,91643.84055327471
66,31,30,-1,8662.592074166234,93363.44510224472
67,32,31,-1,8673.866822477918,95006.06843188664
68,33,32,-1,8931.057998923474,97217.51130305511
69,34,33,-1,9122.458256673606,99014.25171685584
70,35,34,-1,9252.232834345405,101626.55961445924
