Index,x,y,z,motor_positions
55,53.900000000000006,-5.5,-20.9,1220
56,58.300000000000004,1.1,-26.400000000000002,1220
57,55.0,2.2,-22.0,1220
58,53.900000000000006,-6.6000000000000005,-27.5,1220
59,60.5,-8.8,-31.900000000000002,1220
60,57.2,2.2,-28.6,1220
61,52.800000000000004,-7.700000000000001,-20.9,1220
62,51.7,-1.1,-28.6,1220
63,51.7,3.3000000000000003,-24.200000000000003,1220
64,61.60000000000001,3.3000000000000003,-20.9,1220
65,56.1,4.4,-17.6,1220
66,51.7,-7.700000000000001,-22.0,1220
67,58.300000000000004,2.2,-27.5,1220
68,51.7,-2.2,-31.900000000000002,1220
69,53.900000000000006,1.1,-35.2,1220
70,56.1,-3.3000000000000003,-39.6,1220
71,50.6,-4.4,-20.9,1220
72,57.2,-5.5,-29.7,1220
73,53.900000000000006,-3.3000000000000003,-19.8,1220
74,60.5,-7.700000000000001,-30.800000000000004,1220
75,51.7,3.3000000000000003,-41.8,1220
76,56.1,4.4,-34.1,1220
77,53.900000000000006,0.0,-35.2,1220
78,50.6,-5.5,-29.7,1220
79,55.0,-4.4,-35.2,1220
80,64.9,-8.8,-27.5,1220
81,49.50000000000001,-11.0,-27.5,1220
82,46.2,-9.9,-24.200000000000003,1220
83,59.4,0.0,-26.400000000000002,1220
84,51.7,5.5,-25.3,1220
85,48.400000000000006,-2.2,-27.5,1220
86,61.60000000000001,-1.1,-23.1,1220
87,66.0,1.1,-28.6,1220
88,56.1,-1.1,-27.5,1220
89,56.1,0.0,-31.900000000000002,1220
90,68.2,-13.200000000000001,-26.400000000000002,1220
91,50.6,-2.2,-30.800000000000004,1220
92,55.0,-3.3000000000000003,-38.5,1220
93,53.900000000000006,-11.0,-28.6,1220
94,55.0,1.1,-29.7,1220
95,50.6,-8.8,-28.6,1220
96,58.300000000000004,-11.0,-35.2,1220
97,56.1,-2.2,-25.3,1220
98,55.0,-12.100000000000001,-27.5,1220
