Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz
-35,12431.0516330478,8437.48505265873,83331.97124700391
-34,12345.13141490335,8301.042651099158,82859.5486580335
-33,12267.07255951955,8237.731971447785,82000.48279783453
-32,12058.768411035837,8290.893424464852,81418.25875954847
-31,11906.557785146048,8194.785745247236,80717.74481941469
-30,11898.978553175726,8175.786750077245,80117.88240790312
-29,11538.20100198623,7903.324870400422,79701.89001002647
-28,11332.573289704,8147.006743982076,79199.01906938526
-27,11106.40241584656,7898.762564583318,78424.49556126562
-26,10722.472079656109,7998.8316670849235,77948.32926147839
-25,10532.452365147588,7785.3202783036,77625.37637298845
-24,10112.489980577797,7734.919442007868,76972.24849391049
-23,9946.819002814083,7701.400569628595,76451.20346912384
-22,8949.074562243313,7210.85805919969,70949.57048255834
-21,9114.941610317515,7666.009472816939,75507.78587122593
-20,8201.392800384143,7203.263415108376,70354.88236386387
-19,7834.818424993394,7058.786307704402,69814.35149227042
-18,7940.472843769798,7559.877257619349,74490.65092559923
-17,7604.202651060237,7568.138241082636,74008.12123683198
-16,6528.69319435115,7022.910452463849,69126.87392290443
-15,6522.211592060139,7386.221007653414,73568.03703444447
-14,6236.314891117668,7267.858102866437,73395.5988849348
-13,5858.835290263305,7375.292100384747,73146.57685663176
-12,5476.272639253307,7341.5572922023,72850.40158304841
-11,5098.94967492765,7275.015145319416,72794.93780835411
-10,4453.54534466206,7372.991585160889,72752.39580457252
-9,4104.733296257598,7348.453580902545,72696.08008621784
-8,3802.8851545065286,7228.726098937445,72511.59496028018
-7,3372.7655152286834,7101.752136052954,72508.81981557056
-6,3133.3851185045323,7158.781887427778,72362.8921030847
-5,2827.6297607240067,7407.30004246464,72614.43100971503
-4,2787.674590204328,7150.432272416051,72313.69422600837
-3,2677.9615824477946,7174.137888814489,72464.37088092638
-2,2821.4466123845864,7305.008637699117,72383.32888567325
-1,3112.1606911420604,7107.283614320657,72367.14641000933
0,2842.568345979741,6719.084156014698,67687.30791031275
1,3389.1759652917635,6614.142208936437,67930.89030547386
2,4100.616286333452,7128.176064622528,72603.22719115505
3,4410.819194190304,6739.451680437759,67996.61682931728
4,5252.721446342537,7125.9870996291465,72969.51206070109
5,5848.527094802493,7255.667318843054,72951.25153209936
6,6347.516136417291,7144.851670410389,73288.25385314073
7,7143.797776790875,7292.642470181804,73341.06899685173
8,7704.012395344663,7054.302497563165,73855.57597042026
9,8358.006541660236,7268.491544357345,74094.89371605708
10,9086.52195892622,7093.57507295004,74463.2249628794
11,9939.775692003246,7187.816848173659,74883.0527697989
12,10606.741761877389,7252.615421269842,75360.31115134546
13,11342.914604329006,7341.691552232789,75561.93798574424
14,12283.24508200335,7178.494742866737,76128.91963217023
15,13436.047540156462,7337.7307954387325,77054.97359433831
16,14335.449425458932,7319.09191412769,77570.18447661381
17,15246.650478062618,7437.933836306866,78357.3964664513
18,16385.26954115703,7395.01063337002,78995.82696950996
19,17264.24788347121,7470.672600301199,79767.15391938845
20,18409.25515189819,7653.879736510631,80387.16532024462
21,19379.70121066421,7375.996234433179,81366.8673632993
22,20354.416299787437,7576.570583531467,81968.55415245685
23,21327.98412178573,7627.108346222012,82784.63454015504
24,22793.37498662044,7708.788001329314,84071.31421603856
25,24197.71731341804,7727.539035878445,85635.98005009067
26,25358.131697863268,7872.114374931254,86434.49899114853
27,26605.412111410868,7835.34678456299,87770.9396822252
28,28368.799641941547,8052.871060302788,89559.74282764236
29,29514.444434807137,8132.293200236119,90913.89750281164
30,30902.169119341183,8027.08027894104,92378.83097694654
31,32461.186572151284,8213.169313994373,94074.87009462736
32,34244.60745478004,8372.449519277818,96333.65120775095
33,35919.97179486485,8392.579312452006,98249.29800462906
34,35212.03214406919,8128.866887718676,94414.091210943
35,39788.369746050725,8694.243056102148,103898.84221427618
