Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz
-35,21414.37886467368,9880.617035150864,99719.98694932683
-34,21122.586483627543,9854.15800310905,98473.52430469872
-33,19578.261567515598,9151.98661003175,91362.88326407876
-32,19385.115238069244,8903.269457764558,90303.61058714234
-31,20126.300468820064,9411.29633842035,94970.75228078834
-30,18417.44978306812,8709.075461784749,88126.5621284211
-29,17956.68875967046,8653.206255865853,87107.60328238441
-28,18805.86100652938,9163.47688780722,92019.59080064327
-27,16995.037544787414,8341.233274193473,84953.05199804714
-26,17430.12478224308,8792.45989903186,89929.03095858377
-25,15792.33438839694,8358.95884655121,83556.46687168625
-24,16158.032152622409,8731.362942073765,88201.27164035742
-23,15556.20883996362,8561.203527112695,87752.47887098991
-22,13976.696868666468,8000.688554774405,81656.47717711332
-21,14502.546434484202,8530.848243168432,86792.84018658275
-20,13599.16508031949,8498.529294606724,85972.14963212513
-19,13154.835015745057,8436.580725771693,85653.06356963312
-18,12459.766891956328,8355.024638745044,85030.88678387445
-17,11731.153063268408,8291.407634807934,84418.19682497393
-16,10962.63308844521,8231.6986460422,84284.21025097033
-15,10237.989871640457,8360.369885140499,83583.19062023622
-14,9740.078473647936,8248.163826226162,83368.64966373213
-13,9014.563877901865,8169.201895746377,83013.33976390191
-12,8293.749669221606,8198.345273446208,82612.36667843959
-11,7667.501310590836,7961.810810661252,82296.47122873699
-10,6692.300099719677,7994.1760441833885,81995.97673726542
-9,6199.687727899145,7921.805356353415,81672.21663466448
-8,5795.279585317985,7906.753213461266,81542.7562484879
-7,5129.0585504692735,8012.108475118697,81432.47815969039
-6,4206.906732513256,7860.809650546961,81159.30698383311
-5,3794.549689931296,7873.954500210261,80886.83121583721
-4,3440.396633237794,7855.062676429663,80783.85797036684
-3,3139.2966940372085,7916.533825876193,80686.81862629972
-2,3088.984482901212,7854.486104885526,80805.32549016246
-1,3284.396389343492,7673.451922939317,80816.31289370082
0,3171.4139632596693,7812.079530714634,80760.88581403106
1,4023.086979051269,7602.812974603733,80713.28439056399
2,4663.030433705818,7637.176530174977,81057.34452063502
3,5600.10893640202,7683.669375794346,81059.21266386997
4,6226.344636971989,7602.999768271428,81293.95598178051
5,6763.775878638676,7086.68114215879,76141.96057012708
6,7993.830665245493,7699.496092462102,81894.22643564029
7,8770.179382817827,7661.274566046724,81940.23040840904
8,9925.335939496084,7617.922332112554,82307.38196024939
9,10639.213412542636,7705.370359411475,82449.16081141295
10,12046.176828642156,7809.484694455393,82770.93196627838
11,13111.234138896763,7668.791107426347,83040.27338045255
12,14000.345037362276,7856.904819952057,83325.62472561428
13,14985.508344439611,7693.523535059331,83614.06193824501
14,16082.587590266514,7642.726728515752,84075.22592423548
15,17515.76882872383,7704.68933556643,84554.98210464642
16,18809.658186138386,7616.898096260644,84972.50586137979
17,20182.818323694897,7628.449340578539,85455.83791066597
18,21590.3700579669,7763.794318836383,85962.73852934674
19,23049.076114728825,7488.951174600208,86578.69069155537
20,24602.64333934031,7871.194722227455,87280.87512898802
21,26451.88676369608,7637.442253762404,88062.93649821667
22,27668.90159687923,7702.185096916437,88672.25312878896
23,29296.492372324064,7711.387259295152,89535.47558652906
24,31275.661060460807,7731.515620166572,90477.33950136317
25,33943.77249532092,7684.699454007719,92012.44664050272
26,35579.5285460631,7978.403870694909,92806.95391671437
27,37758.08071049243,7870.588638898966,94224.173201025
28,40609.66252394764,7799.16965336223,95851.08363058764
29,42817.83780720077,7896.504909826376,96999.07454384374
30,45021.843250488935,7980.247757881174,98519.49414831644
31,48307.07759611036,7986.286565305158,100545.2990463388
32,51504.08652037555,8057.385227186622,102206.330602867
33,54319.15059623047,8184.083030135596,104053.8543372508
34,57406.16486391221,8214.652384546513,105833.60798778542
35,61531.204061610966,8308.663167077691,108422.70584841885
