Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz
-35.0,7800.523733922732,8107.600175335723,78874.64855545059
-34.0,7807.873677799314,8106.687278427179,78406.3257870103
-33.0,7797.440083163393,8083.303864943387,77968.84112211362
-32.0,7760.0191133732815,8043.364459369631,77561.11979865737
-31.0,7696.609226744156,8004.996229534366,77170.72084980264
-30.0,7617.623083014153,7976.399213728272,76804.23731533108
-29.0,7532.159236642558,7946.305613411317,76464.97181793471
-28.0,7425.9927071970305,7897.554275365008,76098.58756118032
-27.0,7265.347514429712,7828.053602578365,75575.11417078301
-26.0,7041.427859827963,7742.60049029934,74800.20169045868
-25.0,6791.126701335935,7654.233089048185,73901.87262958444
-24.0,6560.422741272651,7589.858253190211,73151.33979555164
-23.0,6366.005221630597,7554.599412229923,72660.19335690925
-22.0,6189.825102322007,7530.273619302927,72369.44581762067
-21.0,6003.731983133993,7521.669743927111,72296.11164700228
-20.0,5798.798227447701,7541.502782051265,72518.77474794678
-19.0,5576.748735632772,7564.699174745384,72871.72884961592
-18.0,5324.163830002579,7553.001769515402,72956.69364065077
-17.0,5030.101061106088,7508.252618787359,72656.4722013246
-16.0,4726.812481649625,7469.765657452696,72336.90100499651
-15.0,4465.169484100045,7465.0676940936655,72306.89291970698
-14.0,4249.508549169742,7484.4296821128555,72431.32593581207
-13.0,4039.710421443,7501.234928795758,72467.76814888384
-12.0,3803.523013792839,7491.012593973562,72358.13519648218
-11.0,3544.311098279706,7443.959090127333,72094.5372923714
-10.0,3293.9390750304124,7385.663095307864,71727.61936528177
-9.0,3088.59824410981,7360.956093762868,71509.94352068192
-8.0,2938.079260377102,7378.718998495166,71624.94299992609
-7.0,2821.007324808945,7403.1035097105705,71888.00257044598
-6.0,2729.725349394667,7406.470626732317,72039.59190934822
-5.0,2691.347938561079,7397.3666516136955,72070.17443341394
-4.0,2726.070083785609,7397.602982220825,72094.89456446558
-3.0,2823.220854187588,7410.725622542758,72155.27559505985
-2.0,2963.0564589514292,7416.088874893109,72189.42080046977
-1.0,3142.1927123813725,7393.606788707494,72083.36776489636
0.0,3384.0528438614206,7347.695915656598,71811.45347676026
1.0,3718.1435931489923,7312.379888074167,71624.17351566478
2.0,4133.773080169236,7323.899932171819,71840.3685605497
3.0,4572.360060592033,7371.9566213138605,72337.8734325512
4.0,4991.102241215101,7410.3252348129545,72732.77196464167
5.0,5403.383936642554,7417.98301128665,73007.16905685942
6.0,5829.405672310168,7405.885699457963,73322.40563550028
7.0,6264.633036392719,7390.838831798918,73584.31653961308
8.0,6712.6259054051525,7390.322363433671,73709.64190059782
9.0,7188.327292192094,7404.55388199136,73777.05775220957
10.0,7694.57496590311,7418.827666296401,73876.25983266586
11.0,8228.98861608321,7442.797283226159,74171.30193275606
12.0,8786.136314178806,7491.810590832055,74735.74843046728
13.0,9353.565358420807,7542.695906488777,75357.61808900545
14.0,9947.847355721722,7574.332399967699,75944.46918756615
15.0,10605.88684421218,7602.640830159556,76691.17333007471
16.0,11299.489756195473,7632.563493761387,77495.8564247462
17.0,11970.566097748271,7657.563282662794,78029.21498779519
18.0,12647.988180095395,7704.003030345976,78516.56372745946
19.0,13380.038064989663,7790.399053525472,79405.14445440553
20.0,14120.030978799618,7882.777662112443,80518.33519166014
21.0,14791.971082764945,7937.0160269616035,81338.72005243452
22.0,15404.225549484237,7947.425411103274,81739.40412931242
23.0,16073.666091901468,7961.395146572413,82216.81689646021
24.0,16926.964246830048,8044.637945490595,83454.8441346779
25.0,17935.948132104837,8195.162271243787,85474.37104139982
26.0,18937.802340907336,8344.83305957463,87580.52105387968
27.0,19844.135853118918,8461.78059928879,89298.63440994344
28.0,20685.842444052938,8569.316232689662,90740.39487069151
29.0,21491.175781492846,8686.62298972712,92142.50497220772
30.0,22261.896591533394,8813.438250596659,93608.85943826387
31.0,23015.26105986614,8948.346939348077,95163.1098970018
32.0,23777.43732596505,9092.808173465317,96824.43221366627
33.0,24561.6267860753,9243.044643311172,98670.07323837701
34.0,25373.91978572503,9393.724652207997,100795.91343260596
35.0,26212.29420725199,9544.392282810579,103159.19870497333
