Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
0,-35,21414.378864673676,9880.617035150864,99719.98694932683,-0.7287011315916575,2.4103071422973046,-0.4591663781583883,-0.2695347534332692,2
1,-34,21122.586483627543,9854.15800310905,98473.52430469873,3.1011772422219317,-0.052449522852124154,-2.919686509143263,6.020863751365194,2
2,-33,19578.261567515594,9151.98661003175,91362.88326407877,-1.2458029322004491,1.8854206301127872,-0.9793891611172447,-0.2664137710832044,2
3,-32,19385.115238069244,8903.269457764558,90303.61058714234,2.5736707438212147,-0.5758035621998747,2.8421654115436294,-0.2684946677224147,2
4,-31,20126.300468820064,9411.29633842035,94970.75228078834,-0.52149640246751,2.614861592926591,-0.24493968485375214,-0.2765567176137578,2
5,-30,18417.44978306812,8709.075461784749,88126.5621284211,1.4249723507459733,-1.737225598408628,1.6956032372986116,-0.27063088655263834,2
6,-29,17956.68875967046,8653.206255865853,87107.60328238441,-1.0464530494904198,2.082571157023481,-0.76644993309096,-0.28000311639945985,2
7,-28,18805.86100652938,9163.47688780722,92019.59080064327,-2.8768131730215964,0.27404112964149474,-2.5930904103845522,-0.2837227626370442,2
8,-27,16995.037544787414,8341.233274193473,84953.05199804714,0.315351641883618,-2.832581145781415,0.5999589847507484,-0.2846073428671304,2
9,-26,17430.12478224308,8792.45989903186,89929.03095858377,-0.26804272804144896,2.893514296134191,0.02539175772357058,-0.2934344857650195,2
10,-25,15792.334388396941,8358.95884655121,83556.46687168625,-0.8439561519489953,2.3097974014641935,-0.5491500107100981,-0.29480614123889726,2
11,-24,16158.032152622407,8731.362942073765,88201.27164035742,-2.6791992773429625,0.4780096683134366,-2.380430875855151,-0.29876840148781136,2
12,-23,15556.20883996362,8561.203527112695,87752.47887098991,-2.637780206227591,0.5199324891233718,-2.3272699837687054,-0.3105102224588854,2
13,-22,13976.696868666468,8000.688554774405,81656.47717711332,1.8110186379460955,-1.3051406631579574,2.1288840358262626,-0.3178653978801671,2
14,-21,14502.546434484202,8530.848243168432,86792.84018658275,2.4947973762133864,-0.608157304719734,2.805899655887687,-0.3111022796743006,2
15,-20,13599.16508031949,8498.529294606724,85972.14963212513,2.5293212025553973,-0.5510104742619635,2.860761466927732,-0.33144026437233487,2
16,-19,13154.835015745057,8436.580725771693,85653.06356963312,-2.4501309986103412,0.7386280620550417,-2.1130038484896096,-0.3371271501207316,2
17,-18,12459.766891956328,8355.024638745044,85030.88678387445,-2.411075837509829,0.7940525497316628,-2.057824703402339,-0.35325113410748976,2
18,-17,11731.153063268408,8291.407634807934,84418.19682497393,-1.1212110948366718,2.124070124842947,-0.7493547726706047,-0.3718563221660671,2
19,-16,10962.63308844521,8231.6986460422,84284.21025097033,0.17053173237618277,-2.856120404777658,0.5625002488624959,-0.39196851648631315,2
20,-15,10237.989871640457,8360.369885140499,83583.19062023622,1.475941116086754,-1.5507355547117576,1.8713150782358616,-0.3953739621491077,2
21,-14,9740.078473647936,8248.163826226162,83368.64966373213,-1.0101048212394899,2.261498856187463,-0.5894718706940738,-0.42063295054541605,2
22,-13,9014.563877901865,8169.201895746377,83013.33976390191,2.777260353338148,-0.19905079768259415,-3.0479017513964304,5.825162104734579,2
23,-12,8293.749669221606,8198.345273446208,82612.36667843959,2.79569273928414,-0.13276961914527186,-2.9947780773256265,5.7904708166097665,2
24,-11,7667.501310590836,7961.810810661252,82296.47122873699,0.29713566216915716,-2.5904485542362936,0.8270650456169113,-0.5299293834477541,2
25,-10,6692.300099719677,7994.1760441833885,81995.97673726542,2.848686993277843,-0.03504611729994549,-2.8898226926558244,5.738509685933668,2
26,-9,6199.687727899145,7921.805356353415,81672.21663466448,-2.2040614814843553,1.270247132319655,-1.577341184950574,-0.6267202965337813,2
27,-8,5795.279585317985,7906.753213461266,81542.7562484879,-0.8985840323564533,2.561435845014205,-0.2656300677665003,-0.6329539645899531,2
28,-7,5129.0585504692735,8012.108475118697,81432.47815969039,-2.2192508822388946,1.3649001155399763,-1.4698223321039336,-0.7494285501349609,2
29,-6,4206.9067325132555,7860.809650546961,81159.30698383311,2.7303199177345405,0.17906064581691936,-2.673363848069279,5.4036837658038195,2
30,-5,3794.549689931296,7873.954500210261,80886.83121583721,2.684923165513436,0.22075430130421417,-2.617664621046881,5.302587786560316,2
31,-4,3440.396633237794,7855.062676429663,80783.85797036684,1.3284781603192715,-0.9788879446068878,2.4616126949258956,-1.1331345346066242,2
32,-3,3139.2966940372085,7916.533825876193,80686.81862629972,2.334510306935755,0.3251435577198927,-2.509980630248281,4.844490937184036,2
33,-2,3088.984482901212,7854.486104885526,80805.32549016246,0.9013618260834214,-0.8922950964837693,2.5704150008127904,-1.669053174729369,2
34,-1,3284.3963893434916,7673.451922939317,80816.31289370082,0.6264867639753435,-0.8256708169599912,2.6244392109505568,-1.9979524469752132,2
35,0,3171.4139632596693,7812.0795307146345,80760.88581403106,1.956596502943849,0.49733024054932684,-2.3490082952959113,4.30560479823976,2
36,1,4023.0869790512684,7602.812974603733,80713.28439056399,0.32285956636812435,-0.7045408480187108,2.7329022105040925,-2.4100426441359684,2
37,2,4663.030433705818,7637.176530174977,81057.34452063502,2.7410883150422163,1.858614784794313,-0.9840188663171512,3.7251071813593675,2
38,3,5600.10893640202,7683.669375794346,81059.21266386997,-1.0599044592898363,-1.8648460751590856,1.582463056332357,-2.642367515622193,2
39,4,6226.344636971989,7602.999768271428,81293.95598178051,1.419668621305054,0.6988661257593871,-2.1344747525140986,3.5541433738191524,2
40,5,6763.775878638676,7086.68114215879,76141.96057012708,0.746904117013406,0.11713863418107949,-2.7080696845062855,3.4549738015196914,2
41,6,7993.830665245493,7699.496092462102,81894.22643564029,2.6331133669301834,2.0782451520854965,-0.7685920907139059,3.4017054576440895,2
42,7,8770.179382817827,7661.274566046724,81940.23040840904,-1.0843724418807323,-1.6443519262476558,1.7979438645214005,-2.882316306402133,2
43,8,9925.335939496083,7617.922332112554,82307.38196024939,-2.35437161879193,-2.866314910049923,0.5938377487473107,-2.9482093675392407,2
44,9,10639.213412542636,7705.370359411475,82449.16081141295,1.4520368463191433,0.9698627441992059,-1.8682953201829777,3.320332166502121,2
