Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Trial
0,-35.0,7720.204828246074,8029.734766915855,78832.47407721425,-2.9945576924793813,0.3475352906842096,-2.502597600360676,0.0
1,-34.0,7771.204790583602,8081.241483613037,78424.62242388661,-1.6763686905248634,1.6817007503379968,-1.1927414187044503,0.0
2,-33.0,7814.102602836868,8092.337973703023,78030.5242107109,-0.338753141313156,3.0023452982665297,0.11752469937115258,0.0
3,-32.0,7814.07179172164,8067.19180293497,77643.31274248254,-2.8064752503725066,0.531930427644041,-2.3396337297653647,0.0
4,-31.0,7745.733030170042,8034.100799398338,77253.33066878113,1.0174529862693582,-1.9227369904834106,1.4835549491361766,0.0
5,-30.0,7635.115974469775,8004.223627864286,76869.36881442349,-1.441682579889614,1.9095835449285223,-0.9752593686547678,0.0
6,-29.0,7523.132691027078,7971.2345765928085,76508.06924372191,-2.6719488201484283,0.6935567724321212,-2.1793575597574755,0.0
7,-28.0,7408.417682796749,7935.14342484057,76172.53781794924,-2.615907720202213,0.7421235723718586,-2.1219162790516624,0.0
8,-27.0,7264.398666637751,7902.139533272335,75861.01121172334,2.440150116061999,-0.44646902973544444,2.9545209317705905,0.0
9,-26.0,7088.852726683041,7864.318095096659,75571.20246139528,-0.00976490214910457,-2.910687807525402,0.4981050194758331,0.0
10,-25.0,6903.463992896867,7814.377231610995,75268.32438274646,2.54118117958617,-0.35621264411561676,3.0614673357886484,0.0
11,-24.0,6725.07509287787,7771.483669589422,74914.207222295,0.10007671554499534,-2.800570942677257,0.6040923731696178,0.0
12,-23.0,6561.073292031271,7750.099144795052,74538.57257756972,-1.1070004511184521,2.2800508584046075,-0.5998017579461827,0.0
13,-22.0,6401.646649049386,7734.775753268707,74203.24515245973,2.679649132229853,-0.18148297961864607,-3.057437177043192,0.0
14,-21.0,6202.087279034082,7708.372520858146,73931.18827050789,0.20194303748729828,-2.646939585735385,0.7631240857207661,0.0
15,-20.0,5926.914508892625,7673.937346417065,73711.81630682187,-2.271891724946276,1.185121721751001,-1.692957532522215,0.0
16,-19.0,5608.782145584919,7647.346763934738,73515.78605758816,1.5199534137203026,-1.2654434951463585,2.1296069129066373,0.0
17,-18.0,5302.182505622777,7634.738960995985,73319.74164369263,2.8094497238656233,0.025464639488877096,-2.845623021853395,0.0
18,-17.0,5018.2029926937485,7625.839254205695,73137.80006134101,0.33297210137525723,-2.4253048316275194,0.978854888154997,0.0
19,-16.0,4754.602763159582,7608.295848300723,72975.96428244926,-0.915311877099125,2.641589483838351,-0.22219423280896347,0.0
20,-15.0,4522.997080746678,7580.723747240319,72797.26132814739,-0.9061201590382357,2.6986721194092307,-0.16635964184654686,0.0
21,-14.0,4305.798003100275,7554.795304597372,72587.94630147758,-0.8992221117416273,2.757457787098831,-0.11241991659366393,0.0
22,-13.0,4051.5501540026667,7536.473105755183,72400.38279375306,2.8832496792199573,0.3056627647872232,-2.5721835826761636,0.0
23,-12.0,3752.7743764710267,7518.136789336886,72288.99603399141,0.346099607461756,-2.1564088567090454,1.2515832114568712,0.0
24,-11.0,3469.639608833161,7488.033040348851,72240.70689769051,2.873088799459257,0.38594026872130927,-2.4621052200410416,0.0
25,-10.0,3252.46035051049,7439.066599509029,72204.13954980565,-2.1495655980982202,1.7031774347662156,-1.1509619536715199,0.0
26,-9.0,3103.4013544162394,7389.449808020451,72168.72135992582,-0.9822388492907994,3.0395268610129773,0.16039296181932589,0.0
27,-8.0,2996.803933001912,7368.997731606238,72165.60053007092,1.5021060766648164,-0.7109039845627071,2.723837439411258,0.0
28,-7.0,2893.5181386768927,7371.6030144098795,72194.68667687356,2.7353844032622856,0.622705296122165,-2.2457055095084257,0.0
29,-6.0,2786.660837510138,7367.348555964321,72216.35922130293,-1.2502887753906315,-3.0954526598316647,0.3213016349286162,0.0
30,-5.0,2723.523238040945,7359.915198315001,72229.29168686377,-0.009588133993551188,-1.7984640975601238,1.629081478235108,0.0
31,-4.0,2741.8912843067396,7382.333805807354,72275.33781623685,1.1461545532495832,-0.4606025924173066,2.942029833968346,0.0
32,-3.0,2834.5703097266087,7428.858928510295,72344.86007512982,-2.728074645438183,2.115009834142946,-0.7760937119788679,0.0
33,-2.0,2978.510323800656,7450.771777959488,72389.08650811098,-1.6141909251077813,-2.86857036907669,0.5365736377536133,0.0
34,-1.0,3163.016522927964,7432.143974934742,72430.07008241348,2.0452920293611405,0.939153539140039,-1.923256563762554,0.0
35,0.0,3407.6744518967857,7406.702218596398,72541.22474961505,-2.871973268735195,2.2426299464266717,-0.6131171490332769,0.0
36,1.0,3739.0279684820803,7404.284821501125,72737.70566776539,1.9922826472258943,1.0489280632784932,-1.818112100148025,0.0
