Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
-35,22442.20745396104,12992.703306052506,110190.17425662733,1.3358624813265345,-1.7312300225457677,1.609741009792696,-0.27387852846616134,0
-34,22186.37944691313,12671.273874599441,108326.84805584305,2.646634332035613,-0.4321736212914074,2.9191490303971475,-0.27251469836153497,0
-33,21472.273608031144,12273.189416045723,106669.08533714424,1.4370583070603813,-1.632666685987274,1.7167390817266617,-0.2796807746662804,0
-32,21111.71454225148,12404.113520463063,105092.77553346785,2.7413701446398044,-0.33024073727097797,3.0273679636706348,-0.28599781903083077,0
-31,20439.118689126055,12123.946066608944,103554.44763684768,-2.2333182138294077,0.9856574556395076,-1.94657769685275,-0.2867405169766579,0
-30,20014.404300610673,11955.117733000736,101991.45676149282,2.8517867045148324,-0.22193703689770308,3.134089243788498,-0.28230253927366533,0
-29,19304.544361697008,11663.296475089172,100566.05778316356,-2.136229759695993,1.0855966142765576,-1.8379095436378203,-0.2983202160581726,0
-28,18837.06787990878,11610.633517283486,99469.66900844709,-0.8243430720405814,2.4035458363547955,-0.5275997060372581,-0.29674336600332296,0
-27,17927.77916211468,11340.986815338336,97770.21064898222,0.4813160110823604,-2.5757052908986267,0.7815218264679071,-0.3002058153855467,0
-26,16939.789592234036,11276.179022722985,96810.72832536024,0.5357784439365273,-2.5232552080853456,0.8365867945302199,-0.3008083505936927,0
-25,16429.972999248697,10995.485313776991,95757.95445207781,1.8319579586517878,-1.2175254170949827,2.1463813588612886,-0.31442340020950077,0
-24,15553.322220659202,10998.145184839277,94494.84050285899,3.130927422645523,0.08790507479187766,-2.82592514076755,-0.326332743766514,0
-23,14916.110981280355,10724.499783105664,93601.29373093386,-1.8515907834711598,1.425875958685416,-1.5128728447433135,-0.3387179387278465,0
-22,14140.930167848854,10520.150917810131,92636.64138787633,-0.5456153220327342,2.704578299536083,-0.20136262115856135,-0.3442527008741729,0
-21,13385.980381218216,10455.4098087237,91897.51539564255,-1.7553943547627282,1.525916535557697,-1.4076683829468168,-0.3477259718159118,0
-20,12580.462039298864,10461.349630154318,91017.64496447379,-0.4695193461484926,2.8184147496209877,-0.09391888020524918,-0.3756004659432435,0
-19,11866.111704024703,10387.899993167845,90369.49561109263,0.8449734789326768,-2.1409817834643703,1.2190287399858009,-0.37405526105312425,0
-18,11254.744094354037,10274.22994600566,89799.97613598451,2.128572876233114,-0.8454771199657242,2.5301385310069255,-0.4015656547738118,0
-17,10252.078328120517,10182.81840814959,88853.43960787747,2.16070315757815,-0.7925553771982694,2.5828306343687566,-0.4221274767906067,0
-16,9790.368059042436,10029.874645709508,88569.92646032263,-2.819363065746968,0.5172111252603445,-2.3870121212814905,-0.43235094446547784,0
-15,9081.119731468063,9943.87287679069,88062.44472208212,-1.5444538562975205,1.8271529971223688,-1.076107694308957,-0.4683461619885634,0
-14,8395.18882717124,9828.89087446802,87482.51512223575,-0.2711574060237657,-3.1251610859923145,0.23484336224502786,-0.5060007682687937,0
-13,7703.544081821572,9944.375920614964,87191.65048140647,1.0005454364897544,-1.8233275278039491,1.5449536366224645,-0.5444082001327102,0
-12,6986.127717499281,9844.53074410073,86721.24076513636,2.253768214904025,-0.5205261904021438,2.853821762481728,-0.6000535475777031,0
-11,6664.072152182104,9905.71994012904,86490.13998740636,-2.7308194310956875,0.7819383827644748,-2.1158800644596134,-0.6149393666360741,0
-10,5781.210245365176,9702.839098424665,86125.1382080749,-1.4672876855158234,2.1083987712258137,-0.8058751069682017,-0.6614125785476217,0
-9,5129.537849344271,9551.315324509698,85825.77447962498,-1.5327121845156335,2.1467521487079235,-0.7511814762007701,-0.7815307083148633,0
-8,4628.0616639141535,9452.868864338756,85402.52238476735,-2.7899915256137255,0.9448745757789256,-1.95309956186391,-0.8368919637498156,0
-7,4091.1760110234236,9513.270490125582,85357.11305540294,2.1422394512529297,-0.2563070070518761,3.1252946853981642,-0.9830552341452345,0
-6,3433.9096490061165,9540.896275028133,85188.62099618839,-3.003574038662776,1.0605837417616666,-1.8465550962303112,-1.1570189424324648,0
-5,3251.7456221454745,9526.607734563326,84783.07042927682,1.8538135028777165,-0.14823419879549915,-3.0499695858427356,-1.3794022184591341,0
-4,3163.0275076098205,9530.122885850284,84625.44071472669,-1.9909884957878365,2.432406518956922,-0.48254705740951864,-1.508441438378318,0
-3,3142.4461916005253,9481.34218760445,84585.54123149849,2.8214366518155334,1.2078367817691535,-1.6811101191367077,-1.780638536227345,0
-2,3425.105843920788,9443.207172108025,84395.52079013691,-2.427856492594818,2.5373001906908126,-0.37188268966692606,-2.055973802927892,0
-1,3536.4986475030014,9429.685140313812,84378.07072698315,2.4275363832441625,1.343080392767984,-1.5760590831683117,-2.2795898407671125,0
0,3844.834772076763,9436.126324672765,84466.60425262971,-0.01751399052642437,-1.1464745837850614,2.2479960101883893,-2.265510000714814,0
1,4604.943774300424,9404.424217420268,84424.92883411727,2.300377486964156,1.4401876543249383,-1.465368814700413,-2.5174390055150173,0
2,5183.972341836418,9335.638545920168,84424.5505724616,-1.4765143192752808,-2.2807801305745463,1.1012285003161792,-2.5777428195914602,0
3,6087.518884131044,9378.856311493617,84501.32933053578,0.9676263260823683,0.30005072751033113,-2.6139057474065837,-2.7016532336906334,0
4,6386.094265879402,9400.661783326368,84845.93796958002,-2.7682027134926854,2.856268825966421,-0.04461422555608378,-2.7235884879366017,0
5,7486.497660804417,9321.970760268596,84789.63023110213,-1.5184264240412177,-2.12691163850665,1.2668628472535708,-2.7852892712947885,0
