angle,c_angle,error,Trial
-35,-35,0,0
-34,-35,-1,0
-33,-35,-2,0
-32,-35,-3,0
-31,-35,-4,0
-30,-35,-5,0
-29,-35,-6,0
-28,-35,-7,0
-27,-34,-7,0
-26,-33,-7,0
-25,-30,-5,0
-24,-30,-6,0
-23,-27,-4,0
-22,-25,-3,0
-21,-24,-3,0
-20,-24,-4,0
-19,-23,-4,0
-18,-21,-3,0
-17,-17,0,0
-16,-16,0,0
-15,-15,0,0
-14,-13,1,0
-13,-13,0,0
-12,-10,2,0
-11,-10,1,0
-10,-8,2,0
-9,-7,2,0
-8,-6,2,0
-7,-5,2,0
-6,-3,3,0
-5,-2,3,0
-4,0,4,0
-3,0,3,0
-2,1,3,0
-1,2,3,0
0,2,2,0
1,3,2,0
2,5,3,0
3,6,3,0
4,7,3,0
5,7,2,0
6,8,2,0
7,8,1,0
8,10,2,0
9,10,1,0
10,10,0,0
11,13,2,0
12,13,1,0
13,14,1,0
14,14,0,0
15,14,-1,0
16,14,-2,0
17,15,-2,0
18,16,-2,0
19,17,-2,0
20,18,-2,0
21,19,-2,0
22,19,-3,0
23,20,-3,0
24,23,-1,0
25,23,-2,0
26,23,-3,0
27,24,-3,0
28,25,-3,0
29,25,-4,0
30,27,-3,0
31,28,-3,0
32,28,-4,0
33,29,-4,0
34,30,-4,0
35,31,-4,0
-35,-35,0,1
-34,-35,-1,1
-33,-35,-2,1
-32,-35,-3,1
-31,-35,-4,1
-30,-35,-5,1
-29,-35,-6,1
-28,-35,-7,1
-27,-34,-7,1
-26,-31,-5,1
-25,-30,-5,1
-24,-28,-4,1
-23,-26,-3,1
-22,-25,-3,1
-21,-25,-4,1
-20,-23,-3,1
-19,-21,-2,1
-18,-19,-1,1
-17,-16,1,1
-16,-16,0,1
-15,-14,1,1
-14,-12,2,1
-13,-11,2,1
-12,-10,2,1
-11,-9,2,1
-10,-8,2,1
-9,-7,2,1
-8,-6,2,1
-7,-4,3,1
-6,-3,3,1
-5,-2,3,1
-4,-2,2,1
-3,0,3,1
-2,1,3,1
-1,2,3,1
0,2,2,1
1,3,2,1
2,5,3,1
3,6,3,1
4,7,3,1
5,7,2,1
6,8,2,1
7,8,1,1
8,10,2,1
9,10,1,1
10,10,0,1
