angle,c_angle,error,Trial
-35,-35,0,0
-34,-35,-1,0
-33,-34,-1,0
-32,-33,-1,0
-31,-31,0,0
-30,-31,-1,0
-29,-30,-1,0
-28,-29,-1,0
-27,-28,-1,0
-26,-27,-1,0
-25,-26,-1,0
-24,-25,-1,0
-23,-23,0,0
-22,-23,-1,0
-21,-23,-2,0
-20,-22,-2,0
-19,-21,-2,0
-18,-18,0,0
-17,-18,-1,0
-16,-18,-2,0
-15,-16,-1,0
-14,-14,0,0
-13,-14,-1,0
-12,-12,0,0
-11,-11,0,0
-10,-10,0,0
-9,-10,-1,0
-8,-7,1,0
-7,-7,0,0
-6,-7,-1,0
-5,-5,0,0
-4,-4,0,0
-3,-3,0,0
-2,-2,0,0
-1,-1,0,0
0,0,0,0
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,7,1,0
7,7,0,0
8,8,0,0
9,9,0,0
10,11,1,0
11,12,1,0
12,13,1,0
13,14,1,0
14,15,1,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,24,0,0
25,25,0,0
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,0,0
31,31,0,0
32,32,0,0
33,33,0,0
34,34,0,0
35,35,0,0
-35,-35,0,1
-34,-35,-1,1
-33,-34,-1,1
-32,-33,-1,1
-31,-32,-1,1
-30,-31,-1,1
-29,-29,0,1
-28,-29,-1,1
-27,-28,-1,1
-26,-27,-1,1
-25,-27,-2,1
-24,-26,-2,1
-23,-23,0,1
-22,-24,-2,1
-21,-22,-1,1
-20,-20,0,1
-19,-19,0,1
-18,-20,-2,1
-17,-20,-3,1
-16,-16,0,1
-15,-16,-1,1
-14,-14,0,1
-13,-13,0,1
-12,-14,-2,1
-11,-11,0,1
-10,-12,-2,1
-9,-10,-1,1
-8,-10,-2,1
-7,-7,0,1
-6,-7,-1,1
-5,-5,0,1
-4,-4,0,1
-3,-3,0,1
-2,-2,0,1
-1,0,1,1
0,0,0,1
1,1,0,1
2,2,0,1
3,3,0,1
4,4,0,1
5,5,0,1
6,6,0,1
7,7,0,1
8,8,0,1
9,9,0,1
10,10,0,1
11,12,1,1
