angle,c_angle,error,Trial
12,14,2,1
13,13,0,1
14,15,1,1
15,16,1,1
16,16,0,1
17,18,1,1
18,18,0,1
19,20,1,1
20,20,0,1
21,22,1,1
22,23,1,1
23,23,0,1
24,24,0,1
25,25,0,1
26,26,0,1
27,27,0,1
28,28,0,1
29,29,0,1
30,30,0,1
31,31,0,1
32,32,0,1
33,33,0,1
34,34,0,1
35,35,0,1
-35,-35,0,2
-34,-35,-1,2
-33,-34,-1,2
-32,-33,-1,2
-31,-31,0,2
-30,-31,-1,2
-29,-30,-1,2
-28,-28,0,2
-27,-28,-1,2
-26,-27,-1,2
-25,-25,0,2
-24,-25,-1,2
-23,-23,0,2
-22,-23,-1,2
-21,-23,-2,2
-20,-22,-2,2
-19,-21,-2,2
-18,-18,0,2
-17,-19,-2,2
-16,-16,0,2
-15,-18,-3,2
-14,-16,-2,2
-13,-16,-3,2
-12,-14,-2,2
-11,-12,-1,2
-10,-12,-2,2
-9,-10,-1,2
-8,-10,-2,2
-7,-7,0,2
-6,-7,-1,2
-5,-5,0,2
-4,-4,0,2
-3,-3,0,2
-2,-2,0,2
-1,-1,0,2
0,0,0,2
1,1,0,2
2,2,0,2
3,3,0,2
4,4,0,2
5,5,0,2
6,6,0,2
7,8,1,2
8,8,0,2
9,9,0,2
10,11,1,2
11,11,0,2
12,14,2,2
13,14,1,2
14,14,0,2
15,16,1,2
16,16,0,2
17,18,1,2
18,18,0,2
19,20,1,2
20,20,0,2
21,22,1,2
22,23,1,2
23,23,0,2
24,24,0,2
25,25,0,2
26,26,0,2
27,27,0,2
28,28,0,2
29,29,0,2
30,31,1,2
31,31,0,2
32,32,0,2
33,33,0,2
34,34,0,2
35,35,0,2
-35,-35,0,3
-34,-35,-1,3
-33,-34,-1,3
-32,-34,-2,3
-31,-32,-1,3
-30,-31,-1,3
-29,-30,-1,3
-28,-29,-1,3
-27,-28,-1,3
-26,-27,-1,3
-25,-25,0,3
-24,-26,-2,3
-23,-24,-1,3
-22,-23,-1,3
-21,-23,-2,3
-20,-22,-2,3
-19,-20,-1,3
-18,-21,-3,3
-17,-19,-2,3
-16,-17,-1,3
-15,-18,-3,3
-14,-17,-3,3
-13,-14,-1,3
-12,-12,0,3
-11,-12,-1,3
-10,-12,-2,3
-9,-10,-1,3
-8,-7,1,3
-7,-8,-1,3
-6,-5,1,3
-5,-5,0,3
-4,-4,0,3
-3,-3,0,3
-2,-2,0,3
-1,-1,0,3
0,0,0,3
1,1,0,3
2,2,0,3
3,3,0,3
4,4,0,3
5,5,0,3
6,7,1,3
7,7,0,3
8,8,0,3
9,9,0,3
10,11,1,3
11,11,0,3
12,14,2,3
13,14,1,3
14,14,0,3
15,16,1,3
16,16,0,3
17,18,1,3
18,18,0,3
19,20,1,3
20,20,0,3
21,21,0,3
22,22,0,3
23,23,0,3
24,24,0,3
25,25,0,3
26,27,1,3
27,27,0,3
28,29,1,3
29,29,0,3
30,30,0,3
31,31,0,3
32,32,0,3
33,33,0,3
34,34,0,3
35,35,0,3
-35,-35,0,4
-34,-35,-1,4
-33,-34,-1,4
-32,-33,-1,4
-31,-33,-2,4
-30,-31,-1,4
-29,-30,-1,4
-28,-30,-2,4
-27,-29,-2,4
-26,-27,-1,4
-25,-27,-2,4
-24,-25,-1,4
-23,-23,0,4
-22,-23,-1,4
-21,-23,-2,4
-20,-21,-1,4
-19,-22,-3,4
-18,-19,-1,4
-17,-20,-3,4
-16,-19,-3,4
-15,-18,-3,4
-14,-14,0,4
-13,-14,-1,4
-12,-14,-2,4
-11,-12,-1,4
-10,-10,0,4
-9,-10,-1,4
-8,-10,-2,4
-7,-7,0,4
-6,-7,-1,4
-5,-5,0,4
-4,-4,0,4
-3,-3,0,4
-2,-2,0,4
-1,-1,0,4
0,0,0,4
1,1,0,4
2,2,0,4
3,3,0,4
4,4,0,4
5,5,0,4
6,7,1,4
7,7,0,4
8,8,0,4
9,9,0,4
10,11,1,4
11,11,0,4
12,14,2,4
13,14,1,4
14,15,1,4
15,16,1,4
16,16,0,4
17,18,1,4
18,18,0,4
19,20,1,4
20,21,1,4
21,21,0,4
22,22,0,4
23,23,0,4
24,25,1,4
25,26,1,4
26,27,1,4
27,27,0,4
28,29,1,4
29,29,0,4
30,31,1,4
31,31,0,4
32,32,0,4
33,33,0,4
34,34,0,4
35,35,0,4
-35,-35,0,5
-34,-35,-1,5
-33,-35,-2,5
-32,-33,-1,5
-31,-32,-1,5
-30,-31,-1,5
-29,-30,-1,5
-28,-30,-2,5
-27,-28,-1,5
-26,-27,-1,5
-25,-26,-1,5
-24,-25,-1,5
-23,-24,-1,5
-22,-23,-1,5
-21,-23,-2,5
-20,-22,-2,5
-19,-21,-2,5
-18,-21,-3,5
-17,-18,-1,5
-16,-18,-2,5
-15,-16,-1,5
-14,-14,0,5
-13,-13,0,5
-12,-14,-2,5
-11,-12,-1,5
-10,-11,-1,5
-9,-10,-1,5
-8,-10,-2,5
-7,-7,0,5
-6,-7,-1,5
-5,-5,0,5
-4,-4,0,5
-3,-3,0,5
-2,-2,0,5
-1,-1,0,5
0,0,0,5
1,1,0,5
2,2,0,5
3,3,0,5
4,4,0,5
5,5,0,5
6,7,1,5
7,7,0,5
8,8,0,5
9,9,0,5
10,11,1,5
11,11,0,5
12,14,2,5
13,14,1,5
14,15,1,5
15,16,1,5
16,16,0,5
17,17,0,5
18,18,0,5
19,20,1,5
20,20,0,5
21,22,1,5
22,22,0,5
23,23,0,5
24,24,0,5
25,25,0,5
26,26,0,5
27,27,0,5
28,28,0,5
29,29,0,5
30,30,0,5
31,31,0,5
32,32,0,5
33,33,0,5
34,34,0,5
35,35,0,5
-35,-35,0,6
-34,-35,-1,6
-33,-34,-1,6
-32,-33,-1,6
-31,-32,-1,6
-30,-31,-1,6
-29,-30,-1,6
-28,-29,-1,6
-27,-28,-1,6
-26,-27,-1,6
-25,-27,-2,6
-24,-26,-2,6
-23,-25,-2,6
-22,-24,-2,6
-21,-22,-1,6
-20,-21,-1,6
-19,-20,-1,6
-18,-21,-3,6
-17,-19,-2,6
-16,-17,-1,6
-15,-17,-2,6
-14,-14,0,6
-13,-14,-1,6
-12,-14,-2,6
-11,-16,-5,6
-10,-10,0,6
-9,-9,0,6
-8,-10,-2,6
-7,-7,0,6
-6,-7,-1,6
-5,-5,0,6
-4,-4,0,6
-3,-3,0,6
-2,-2,0,6
-1,0,1,6
0,0,0,6
1,1,0,6
2,2,0,6
3,3,0,6
4,4,0,6
5,5,0,6
6,7,1,6
7,7,0,6
8,8,0,6
9,9,0,6
10,11,1,6
11,11,0,6
12,14,2,6
13,13,0,6
14,14,0,6
15,16,1,6
16,16,0,6
17,18,1,6
18,18,0,6
19,20,1,6
20,20,0,6
21,22,1,6
22,23,1,6
23,23,0,6
24,24,0,6
25,26,1,6
26,26,0,6
27,27,0,6
28,28,0,6
29,29,0,6
30,30,0,6
31,32,1,6
32,32,0,6
33,33,0,6
34,34,0,6
35,35,0,6
-35,-35,0,7
-34,-35,-1,7
-33,-34,-1,7
-32,-33,-1,7
-31,-32,-1,7
-30,-31,-1,7
-29,-30,-1,7
-28,-29,-1,7
-27,-28,-1,7
-26,-27,-1,7
-25,-27,-2,7
-24,-25,-1,7
-23,-24,-1,7
-22,-23,-1,7
-21,-23,-2,7
-20,-22,-2,7
-19,-21,-2,7
-18,-19,-1,7
-17,-20,-3,7
-16,-17,-1,7
-15,-15,0,7
-14,-14,0,7
-13,-14,-1,7
-12,-12,0,7
-11,-11,0,7
-10,-10,0,7
-9,-10,-1,7
-8,-10,-2,7
-7,-7,0,7
-6,-7,-1,7
-5,-5,0,7
-4,-4,0,7
-3,-3,0,7
-2,-2,0,7
-1,-1,0,7
0,-1,-1,7
1,1,0,7
2,2,0,7
3,3,0,7
4,4,0,7
5,5,0,7
6,7,1,7
7,7,0,7
8,8,0,7
9,9,0,7
10,11,1,7
11,12,1,7
12,11,-1,7
13,14,1,7
14,14,0,7
15,16,1,7
16,16,0,7
17,18,1,7
18,18,0,7
19,20,1,7
20,20,0,7
21,22,1,7
22,23,1,7
23,23,0,7
24,24,0,7
25,26,1,7
26,26,0,7
27,27,0,7
28,28,0,7
29,29,0,7
30,31,1,7
31,31,0,7
32,33,1,7
33,34,1,7
34,34,0,7
35,35,0,7
-35,-35,0,8
-34,-35,-1,8
-33,-34,-1,8
-32,-33,-1,8
-31,-33,-2,8
-30,-31,-1,8
-29,-30,-1,8
-28,-30,-2,8
-27,-29,-2,8
-26,-28,-2,8
-25,-27,-2,8
-24,-27,-3,8
-23,-24,-1,8
-22,-23,-1,8
-21,-23,-2,8
-20,-20,0,8
-19,-22,-3,8
-18,-20,-2,8
-17,-18,-1,8
-16,-18,-2,8
-15,-16,-1,8
-14,-16,-2,8
-13,-18,-5,8
-12,-12,0,8
-11,-12,-1,8
-10,-12,-2,8
-9,-10,-1,8
-8,-7,1,8
-7,-7,0,8
-6,-7,-1,8
-5,-5,0,8
-4,-4,0,8
-3,-3,0,8
-2,-2,0,8
-1,-1,0,8
0,-1,-1,8
1,1,0,8
2,2,0,8
3,3,0,8
4,4,0,8
5,5,0,8
6,7,1,8
7,7,0,8
8,8,0,8
9,9,0,8
10,11,1,8
11,11,0,8
12,14,2,8
13,14,1,8
14,14,0,8
15,15,0,8
16,16,0,8
17,18,1,8
18,18,0,8
19,20,1,8
20,20,0,8
21,22,1,8
22,23,1,8
23,24,1,8
24,24,0,8
25,26,1,8
26,26,0,8
27,27,0,8
28,28,0,8
29,29,0,8
30,30,0,8
31,31,0,8
32,32,0,8
33,33,0,8
34,34,0,8
35,35,0,8
