Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
-35,6559.220951572425,8467.647291641266,66758.07794609382,0.7923601495682542,-2.0786499574396444,1.2689195457241806,-0.4765593961559267,2
-34,6575.525824266713,8499.570518809629,66505.22849173,2.0972798138533295,-0.7540729108013274,2.5811002954805957,-0.48382048162726576,2
-33,6498.371692949663,8434.203075556601,66400.81443279753,0.9008727107988238,-1.9466088659174041,1.3750082141793223,-0.4741355033804986,2
-32,6448.2325497465645,8378.938923770293,66192.84169300827,2.2163525010604532,-0.6393441715871254,2.6892098832047986,-0.4728573821443458,2
-31,6671.668773200348,8596.267400197808,66021.15849260589,-2.769663582311493,0.6673858847549744,-2.2818581370676085,-0.48780544524388425,2
-30,6281.714048529055,8489.220561924256,65713.68169948163,2.3223825019634896,-0.5337476701757895,2.7993328633888805,-0.4769503614253914,2
-29,6263.846893042621,8198.976326006732,65588.32648724396,-2.6618666286261625,0.7688826028891912,-2.1721547797096084,-0.4897118489165546,2
-28,6273.413446471487,8258.430926279092,65431.63806162952,-0.1036494077641741,-2.9133167724827516,0.39607949091518807,-0.4997288986793622,2
-27,6063.617099186174,8210.701108232552,65161.72054005193,1.2018601794708856,-1.6275140461530013,1.7048765940863226,-0.5030164146154368,2
-26,5892.315008913909,8264.054479400738,65025.9753193694,-2.4947898492661347,0.9398250369987696,-2.0107387726112576,-0.4840510766548771,2
-25,5993.121321487883,8190.222014572525,64755.170914203874,-1.2205948136977451,2.238249458911908,-0.7006691403813514,-0.5199256733163935,2
-24,5723.526612208944,8201.715205187387,64775.96350849599,2.5879026244107894,-0.2014824047165627,3.124319681425174,-0.5364170570143845,2
-23,5497.587709824044,8299.121386015273,64796.0240143461,-1.1281932705014421,2.3592818644425027,-0.5920732355869001,-0.5361200349145419,2
-22,5619.961688420352,8190.799251956818,64565.156147591246,0.17078074736939222,-2.6167599177025362,0.7198549285512995,-0.5490741811819078,2
-21,5294.110294349994,8197.002700556786,64317.02905241436,0.22119231702899597,-2.5567267489374537,0.772101861784696,-0.5509095447557,2
-20,5055.648162060728,8260.860302900912,64130.79919504918,1.4991492160804814,-1.2421141710365644,2.084098267964032,-0.5849490518835507,2
-19,5029.0846936453545,8036.216068885726,64282.19087338089,2.812817558989573,0.04341492347436647,-2.8887596591921296,-0.5816080889978839,2
-18,4674.868339669156,8108.8122438949185,64028.12558167199,-2.211836101441861,1.3556370728475946,-1.5748022738823253,-0.6370338275595362,2
-17,4697.034486501572,8017.255442641038,63824.117634229086,0.3588644005148664,-2.3578837387068474,0.9913726718378995,-0.632508271323033,2
-16,4398.083254837993,7998.384462108703,63803.04304210735,0.39774770796985565,-2.2958130902456566,1.0431067028530463,-0.6453589948831908,2
-15,4220.560183642047,8007.234885039996,63750.78676451176,1.6737114802623345,-0.9932173762422937,2.356418153394385,-0.6827066731320501,2
-14,3951.1233239588882,8049.868155051748,63739.28164789976,-2.0875138811229075,1.5807694575700233,-1.3578028831098268,-0.7297109980130809,2
-13,3836.6958320329295,8102.190015186801,63767.04288182151,0.448848042975034,-2.1575797155386764,1.211865679175956,-0.7630176362009218,2
-12,3712.8202285562566,7903.940350766926,63762.16890099087,2.992977253481459,0.422470520153683,-2.5039938522271665,-0.7862142014709601,2
-11,3493.4780277325035,7986.978197247933,63780.548946979965,-2.042402939440229,1.7521077333980288,-1.1976229466175683,-0.8447799928226609,2
-10,3448.5192934077218,8061.426629134173,63949.889075936335,-2.0310595668178575,1.7831951805599808,-1.138682057374071,-0.8923775094437865,2
-9,3070.680602911075,7982.200442050546,63855.468912310535,1.7106469495474337,-0.6577925985131803,2.6878387562274684,-0.9771918066800347,2
-8,3032.3956062290567,8069.506328832617,63720.35997341817,-2.0692346843317297,1.891726676710893,-1.032658552977576,-1.0365761313541535,2
-7,2740.38053450189,8175.95382925858,63902.19665676842,0.4147804224395425,-1.8010352148995312,1.537875259554698,-1.1230948371151555,2
-6,2614.938983370412,8010.949437146617,63945.262904388306,-0.8896600191896509,-3.0206579960608564,0.3355409801041359,-1.225200999293787,2
-5,2610.450068846874,8103.975335465092,64101.283326106684,-0.8119814336552146,-2.967564136939461,0.391573849552972,-1.2035552832081864,2
-4,2313.9822880927895,8015.825970822221,64314.09657156694,-0.8867240902084591,-2.9137707874964627,0.44375641997170956,-1.3304805101801689,2
-3,2403.4011595462557,8255.18453636759,64480.01709377888,-2.264789955425492,2.1800249204709568,-0.7577296157168527,-1.507060339708639,2
-2,2296.84702641269,8033.581815847504,64596.10701522289,0.16078033708087583,-1.541491116114726,1.809643354052919,-1.6488630169720433,2
-1,2274.1718064470115,8213.221807629776,64843.57478862958,-2.3814371446095084,2.290406661904639,-0.6510916983045849,-1.7303454463049235,2
0,2291.8569729209157,7996.38769351422,64666.67336036278,-2.340745007232016,2.3361457260451464,-0.595464767990573,-1.7452802392414428,2
1,2554.4094855793105,8153.171099509896,65055.60671030528,-0.11553960841019112,-1.3806233471339966,1.974583029732593,-2.090122638142784,2
2,2722.2680812656226,8070.2747746693585,65401.946916047156,1.1674309647404382,-0.07438276109654729,-2.998895474312719,-2.11685886812643,2
3,2994.65069979123,8193.576308913387,65574.56340209971,-2.730259073011283,2.4827930310319566,-0.4327468329918579,-2.297512240019425,2
4,3059.239341435402,8129.3627870519795,65910.95769379917,-0.18293100785629554,-1.2186147496789956,2.134746697120453,-2.3176777049767487,2
5,3197.1398037521717,8250.123952437905,66199.36867481824,2.275576364521197,1.3425304235687803,-1.582286664063765,-2.4253222785946242,2
6,3601.444901465559,8255.7832124234,66357.38490789552,-1.4997112562149673,-2.358108726071694,0.9853426568404989,-2.485053913055466,2
7,3728.8916551196453,8465.449317207627,66784.45814870998,-0.1943536254414387,-1.0449062897408392,2.2952837875109706,-2.4896374129524093,2
8,4046.7098999020836,8221.894070858601,67223.77187797702,2.252961954115936,1.5260387623156975,-1.4189844725996021,-2.6112388804640485,2
9,4336.06090353841,8431.055898352146,67401.06181936314,-1.474416365788073,-2.2030841553707785,1.1478832392088145,-2.622299604996887,2
10,4651.571758588415,8215.559770568652,68043.41318570056,-2.7446667027944396,2.8525216236045807,-0.050274588683777044,-2.6943921141106624,2
11,5042.135134118835,8429.764063567038,68489.872884931,1.046095534690253,0.4207524511698022,-2.510070409123408,-2.7270193633659243,2
12,5468.838985831707,8546.463200924807,68821.27694909093,-0.17977832194406965,-0.7821222942808925,2.5710268950374413,-2.750805216981511,2
13,5637.73437912427,8477.335892384703,69317.02254627898,-0.13961637349293024,-0.7257387205430736,2.625988448274118,-2.765604821767048,2
14,6086.036999079414,8587.214592642868,69901.73972103203,2.3682341127244504,1.8354836672869135,-1.0867503940016254,-2.8282008004535104,2
15,6450.3924531854755,8637.198148870079,70689.76999045956,-2.6431716653735005,-3.129190930205927,0.22098228078177823,-2.8641539461552785,2
16,6951.641447472384,8741.96357137019,71215.90653507877,1.197959337635384,0.6878871217166873,-2.2377555081109555,-2.8474704614332467,2
17,7355.164930221701,8792.930749610903,71759.34976261383,-1.301284575453701,-1.7648469118505445,1.5865821007305385,-2.8878666761842395,2
18,7620.160487088333,8860.53712975815,72674.91122093853,-1.2654094673367446,-1.712270924356104,1.6419508885466036,-2.9073603558833483,2
19,8097.369628626204,9080.569572130322,73357.69243728514,2.5578384048400387,2.1044443916202518,-0.8167249125047736,-2.9086219898347743,2
20,8493.094721307632,8942.171022882014,74255.88328554574,1.348726430498104,0.8943260479599214,-2.019421531065998,-2.9150373456154846,2
21,8992.391391707519,9081.593365354687,75109.8630712799,0.12695805116413478,-0.28156700740666474,3.060761535468924,-2.9338034843047893,2
22,9052.769207219058,9300.53400028825,75851.78232820085,-2.3340061734240183,-2.764232653670277,0.6040911409011461,-2.9380973143251645,2
23,9685.761667041372,9240.392456173826,76658.45658114161,2.7289376576276214,2.3179555770799154,-0.5992990136998717,-2.9549486358520927,2
24,10006.57952744052,9567.508074893529,77602.59309131127,0.2572543702000512,-0.14712018556706152,-3.0576793463172836,-2.968251590662252,2
25,10458.982085520527,9599.43049944672,78892.0445184571,-0.959778396180295,-1.3340899150101146,2.019528888977934,-2.979307285158229,2
26,10771.886973751596,9700.270114505867,79598.94810160372,0.3627628165509345,-0.024098058263905372,-2.9497786704215327,-2.970643820207119,2
27,11086.29047006434,9824.913752658136,80790.77407527021,-2.1117465689365713,-2.484714582632819,0.8741335833966563,-2.9858801523332277,2
28,11525.621503436112,9970.66809632581,82195.16755367695,2.9802337940498718,2.591017187442637,-0.32982260225556903,-2.973128910874145,2
29,11687.851051314998,10146.06964567263,82897.62311978498,3.024433521135755,2.659588971684127,-0.2755281799450321,-2.9832236060987984,2
30,12093.778983840446,10272.005792289485,84309.0381873771,1.8162929096761897,1.452349329335398,-1.4777138383644786,-2.989178559138919,2
31,12131.45527341461,10489.120829086662,85360.97673538662,0.6179845034459273,0.23576487329498017,-2.680893990306554,-2.9843068134271054,2
32,12416.737608566928,10733.172094050327,86722.18345110981,0.6769377412779292,0.29886152191075316,-2.625206746642418,-2.98104081925924,2
33,12666.158163951566,10725.233192158299,88146.33663914035,-3.0484902409988317,2.852732135009296,-0.05739299823314598,-2.9910972427656857,2
34,12741.173020735901,10966.080957299602,89640.77531352559,2.029763094781136,1.6610858784627796,-1.2593003158455025,-2.994121896552949,2
35,12878.556614848365,11270.856114194763,91511.72523681962,-0.4121651793815842,-0.7837276763583028,2.5662847100469452,-2.9784498894285294,2
