Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
0,-35,10471.858861019049,10095.343641901862,77789.68838311435,-0.8567186999248555,2.471921630638511,-0.4804193846211939,-0.3762993153036618,0
1,-34,10574.38151676356,10025.387214791808,77460.22540049245,-2.0606734933464734,1.2721677348187235,-1.683534959044864,-0.3771385343016096,0
2,-33,10595.283689643127,9974.602785957908,76964.69201900784,3.023280755347818,0.07443566749182233,-2.887016930035279,-0.3728876217964885,0
3,-32,10444.72852471078,9616.857872808023,76647.49349542911,-1.9522456249453541,1.370523758231968,-1.5779422615597956,-0.37430336338555836,0
4,-31,10125.19749495125,9808.965219253088,76368.31228960467,-0.645091293101271,2.6823024236572235,-0.26530542047375,-0.3797858726275214,0
5,-30,10088.039749808473,9671.073455992264,75834.91409138285,0.6679922061996972,-2.3123694403830846,1.0460964221683133,-0.3781042159686159,0
6,-29,9983.228896215516,9503.09155779052,75333.6969955087,1.9691280330819902,-0.9656512168055194,2.35572553219304,-0.38659749911104946,0
7,-28,9796.388897074467,9547.267516415515,75003.53692986602,-3.0095682669219186,0.33448680610425824,-2.615535597610903,-0.39403266931101566,0
8,-27,9459.783361438891,9379.086478662517,74788.75955028979,0.8110101707773258,-2.119473323799094,1.2085001151394077,-0.39748994436208207,0
9,-26,9119.8700053477,9361.573156046052,74233.08092103584,2.117843950262753,-0.8137264628022907,2.521311464713015,-0.40346751445026197,0
10,-25,9105.736316202547,9378.471143396428,74039.8369915015,2.163633884718779,-0.761446965027782,2.575551236685166,-0.41191735196638746,0
11,-24,8880.021515661158,9380.794065765622,73898.80969298763,0.9563629409416196,-1.966271603701945,1.371262031742577,-0.4148990908009571,0
12,-23,8469.059885148532,9221.662037902488,73465.65003352468,2.251628128109075,-0.6529996601764072,2.6812249063404985,-0.4295967782314234,0
13,-22,8033.373109128708,9252.437223100513,73348.52975064974,-2.743266588572185,0.6444697391548843,-2.2896917530354743,-0.45357483553671063,0
14,-21,7866.39528242672,9158.587973109956,72924.78951458927,-1.4461393140542254,1.9600802567945659,-0.9793415322423974,-0.4667977818118283,0
15,-20,7696.7716533461435,9008.188495501407,72995.09437858473,-0.11361548927019059,-3.010120682603552,0.33449023888532986,-0.44810572815552074,0
16,-19,7533.272595688177,9173.796293680653,72913.94526922493,2.441180225458231,-0.453000645702116,2.9021955064350884,-0.4610152809768575,0
17,-18,7015.0286629427965,9148.197490487437,72667.65901464692,-2.576002621060461,0.8756490281095995,-2.0732823747356153,-0.5027202463248459,0
18,-17,6747.73010887163,9006.404673863892,72527.25158059062,-1.268323702392576,2.189319250628908,-0.7617908037855418,-0.5065328986070341,0
19,-16,6516.179789427009,9075.88384233985,72413.55004915554,0.033329465584643655,-2.800712669328312,0.5486940872093048,-0.515364621624661,0
20,-15,6194.299758291711,8988.123365945525,72248.02090853342,1.309996018751675,-1.4757619589496214,1.8588351900655815,-0.5488391713139062,0
