Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
-35,17660.551935047046,11550.595190826714,91778.00771658888,2.1638139117584183,-0.8739712065044102,2.457306227548644,-0.2934923157902256,2
-34,17407.538351552143,11304.803038429696,91013.91700037797,-1.550292096230514,1.6856870887999076,-1.2603786729374484,-0.2899134232930658,2
-33,17145.241463817703,11317.809405297676,90436.36253451789,-2.7540160841254004,0.48869857352142587,-2.4623187400938966,-0.2916973440315038,2
-32,16985.887130108385,11278.750750750354,89629.73761068888,-0.19264455210209444,3.044969058480706,0.10718430887931667,-0.29982886098141126,2
-31,16768.018147404026,11077.019161623275,89068.97382529032,2.3744066199019946,-0.6652483511629624,2.6749330744493514,-0.3005264545473567,2
-30,16420.396258141343,10864.608903360166,88543.31621606833,-2.5964680211167868,0.6458573269557434,-2.2989691801334255,-0.2974988409833612,2
-29,16100.290313354033,10954.888397570945,87940.17200092177,-2.538170576256627,0.7086887162158599,-2.242370535813409,-0.2958000404432184,2
-28,15609.303880601947,10826.391013854934,87438.03776754763,0.023169301685606342,-3.0168747113265555,0.3221972714287264,-0.2990279697431202,2
-27,15162.589839299617,10610.115185718076,86813.80811030105,1.3268402083370336,-1.7127007913684984,1.632831495461772,-0.3059912871247388,2
-26,14588.19721099009,10676.780670850894,86313.48471082034,0.12777094863147118,-2.9083339906716095,0.43123400815727986,-0.303463059525809,2
-25,14411.336877434374,10500.286094812487,85964.13884780256,-2.347828677721786,0.9310579596161321,-2.026760791084753,-0.32106788663703334,2
-24,13893.995170088441,10570.014886154868,85420.75179085677,-1.0398013449339532,2.2284462939459977,-0.7164135916378183,-0.3233877532961351,2
-23,13465.046379517335,10412.905476212896,84835.99785492188,-0.9916850234222054,2.2668722153802694,-0.6620875672071618,-0.3295974562150441,2
-22,12832.468998912327,10283.596723218785,84399.74032563061,-0.9490004292930946,2.331100043839232,-0.6082623958822004,-0.3407380334108945,2
-21,12567.369994064222,10347.844994856772,84161.49475384885,-0.8867286865660859,2.385836532956305,-0.5546762319538114,-0.33205245461227406,2
-20,11912.030273595556,10147.259718125266,83647.85600199125,0.4028872743657831,-2.5829710778433674,0.7557357313312224,-0.35284845696543954,2
-19,11485.100266053196,10041.759867209803,83376.25864489641,-0.8160846706408778,2.492575429419845,-0.44570617356468595,-0.3703784970761914,2
-18,11139.016390398372,10243.922319505853,83081.05320753925,0.4833435175194672,-2.483139954287431,0.8656356397348156,-0.3822921222153486,2
-17,10387.674299715502,9976.323179031047,82695.32555602904,-0.7238916575180646,2.593339149526813,-0.3374955458982103,-0.3863961116198542,2
-16,9822.817477100709,10079.138666704439,82596.51264515796,1.8108421089888245,-1.1205486741758661,2.23085449326764,-0.4200123842788157,2
-15,9194.297195702839,9960.238919578074,82301.03600162029,0.5750374389006727,-2.310619594271268,1.0273452377248677,-0.4523077988241955,2
-14,8733.600089383792,9797.078574908874,82092.00303080438,-3.1348947921402863,0.24350238204513724,-2.686507981364368,-0.4483868107759186,2
-13,8312.485233578436,9966.407623872718,81928.5496117652,-0.5773723029934317,2.8222967692410785,-0.11931410086953109,-0.458058202123901,2
-12,7748.51656101809,9822.399115706741,81751.95646858147,0.6866207634566197,-2.1606306378920577,1.1919305297017406,-0.5053097662451211,2
-11,7286.688653540413,9825.256193675845,81981.8838628002,-0.5265766845081077,2.92308303966402,-0.009016953206994275,-0.5175597313011133,2
-10,6750.035883171242,9712.708896141894,81792.05145015997,0.7411044397789844,-2.0481816917628355,1.3024344459714345,-0.56133000619245,2
-9,6127.344861186988,9610.553140785898,81714.07763446413,-3.032678620289068,0.5244265968672465,-2.412449019259468,-0.6202296010295996,2
-8,5736.220008769165,9706.911946018525,81714.93804500886,2.011123684438409,-0.6822652525721685,2.6683895370625224,-0.6572658526241133,2
-7,5277.402555918713,9764.509457251286,81708.98639485308,0.7507881728871917,-1.8899979997955885,1.465413074878863,-0.7146249019916713,2
-6,4549.237924751791,9512.804069416285,81701.73804663762,0.6717313351597157,-1.8362265898872987,1.5211980797095,-0.8494667445497841,2
-5,4172.367324060071,9736.575478894505,81823.44349182802,-3.0832140219609356,0.7200362049433882,-2.194058187978745,-0.8891558339821906,2
-4,3805.8661847882568,9700.00906301103,81918.7947245029,3.135658307512223,0.7872976262753202,-2.1389834841102675,-1.0085435155570952,2
-3,3264.1842470430224,9731.918219746414,81986.81556503446,0.5081031802839622,-1.6726049614097818,1.6860187742200798,-1.1779155939361177,2
-2,3048.093593664613,9773.148946638563,82336.86948546604,0.2774958338172192,-1.6269521156395026,1.7384530049559999,-1.4609571711387805,2
-1,2919.820216566221,9780.964540964174,82362.68161045134,1.3945779623930723,-0.31046380958069514,3.0496378005992852,-1.655059838206213,2
0,3327.8109406744647,9727.715528659126,82610.80261885734,-2.350892459142395,2.257322996052158,-0.6669605818960093,-1.683931877246386,2
1,3225.4875597384985,9676.882327998606,82840.32617613563,-0.18511390886685195,-1.4549578481370316,1.8997310046086753,-2.084844913475527,2
2,3636.84444667677,9728.53289437385,83203.81204213286,-2.8356821900570406,2.3556792673239593,-0.5589809880930473,-2.276701201963993,2
3,4291.7600102618535,9749.260582615001,83358.80881716617,2.0761946056062834,1.1516929831397673,-1.7583998553532783,-2.448590846220025,2
4,4800.475838085967,9656.698823288069,83732.5020791068,-1.7295769513564243,-2.560705362028164,0.8051767027792057,-2.53475365413563,2
5,5548.6046554679,9764.337169812728,83998.64073535088,-1.7550204797867406,-2.5098387578967163,0.8618767139114483,-2.616897193698189,2
6,6021.814377012655,9745.927830647,84298.0767077125,-3.058102408254991,2.555061936594537,-0.34154765269106735,-2.716554755563924,2
7,6834.021218838939,9709.985209606011,84820.55192339853,-0.5376922062298229,-1.154415236525484,2.224240776447454,-2.7619329826772767,2
