Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
-35,10809.65505247031,9868.648648116681,78831.99430864665,0.865267049761854,-2.1134088896574497,1.2328153742612973,-0.3675483244994435,2
-34,10673.283843031604,9830.99734304765,78066.01570109361,-2.852591076756396,0.47020746379144396,-2.481565840968125,-0.3710252357882702,2
-33,10472.108464063978,9822.679359886926,77833.68236174775,2.2254381495767674,-0.7247421247474604,2.59952498394322,-0.3740868343664525,2
-32,10316.688073469697,9931.718875048009,77374.39740536612,-2.7537772510125325,0.5801636570668895,-2.3729821741613812,-0.3807950768511512,2
-31,10203.166312799496,9576.340764923432,77103.16583573507,-1.4411678003095176,1.8869271934567173,-1.0620415938224435,-0.37912620648707396,2
-30,10091.140430942387,9743.741982053923,76757.183378531,-0.14382170676313633,-3.0887355844397737,0.25024118412318613,-0.39406289088632285,2
-29,9864.369086748115,9597.20905127974,76266.75907045483,1.1799751911477385,-1.7801796631812041,1.5588179879399895,-0.3788427967922505,2
-28,9730.163025920507,9484.713573808036,76065.92439276172,2.5033869350722457,-0.4625286828433303,2.872383383947231,-0.3689964488749853,2
-27,9602.100892368418,9596.40328802262,75488.70826646421,-1.2417390958686914,2.1132796203140485,-0.8447311867863783,-0.39700790908231287,2
-26,9347.155538639612,9496.642191833605,75296.01870141007,0.05610786246909845,-2.8647320325119066,0.4664125776553299,-0.41030471518623113,2
-25,9212.558411718826,9383.8945881034,74920.99398650654,1.3776489775740446,-1.5593402003890244,1.7789826507831943,-0.4013336732091499,2
-24,8961.081773237544,9380.692107672976,74599.33047966825,0.16372934427176264,-2.764037727320003,0.5738648590137965,-0.41013551474203425,2
-23,8718.558157440226,9283.192796230867,74491.05338423645,1.4640011613908501,-1.458333643511305,1.8840204832772627,-0.42001932188641256,2
-22,8345.319854979147,9229.048880454142,74298.58694296368,2.779998517882563,-0.1505143857172608,-3.0890146216275447,-0.41417216766947895,2
-21,8098.836543162436,9289.731419310347,74033.31347133972,-2.209869153950906,1.1669912903764772,-1.7775828833506289,-0.4322862706002777,2
-20,7714.507886336118,9144.648161695248,73695.27107844874,-0.9245283143802557,2.4819582148400117,-0.46576449349948845,-0.45876382088076717,2
-19,7659.012448946046,9064.92715719889,73703.3416330653,0.385325263788945,-2.5007384397841577,0.8442355825830021,-0.4589103187940573,2
-18,7287.622011848946,9089.888142850692,73321.22950583504,1.6731418924139272,-1.187111853800189,2.156038916606388,-0.48289702419246083,2
-17,6808.1676426734675,9150.728266732718,73355.06529781413,2.9657315293650948,0.12331674588664286,-2.816238492938935,-0.5012152848755562,2
-16,6495.371612328289,9065.959560842257,73090.69297549763,-2.035940908135395,1.4231733363391086,-1.505395033034547,-0.5305458751008478,2
-15,6227.29558593257,9001.536170004001,73122.54256581001,-0.770011799144013,2.744581402801536,-0.19405212008666334,-0.57595967905735,2
-14,5793.209867878001,8867.650249575747,72864.65054613794,0.5496334774367516,-2.23519214592881,1.118512548539704,-0.5688790711029528,2
-13,5531.276809648039,9008.240559403517,72813.90783771641,-0.6754155873481109,2.852555451755851,-0.08153555743755632,-0.5938800299105544,2
-12,5175.9565245116555,8748.763716083258,72522.47636070315,0.5659782421640136,-2.127046635879274,1.2289369970532864,-0.6629587548892726,2
-11,4923.65779040801,8843.524021438418,72513.99101067123,0.595900384738539,-2.068357456751786,1.2831318383146402,-0.6872314535761008,2
-10,4624.842127814684,8870.947324210589,72602.74810560107,1.8430991345932815,-0.7530899535494684,2.5957734349061905,-0.752674300312909,2
-9,4270.4023719368115,8902.223709663374,72510.5967002427,0.5975691051575913,-1.9623886145887788,1.39267682685775,-0.795107721700159,2
-8,4120.817551196656,8859.800474695012,72574.24790320099,3.123332372146243,0.6201380416359603,-2.3197798069850784,-0.8400731280482656,2
-7,3777.039020955775,8884.77075485434,72762.22990149297,-0.6666641748665724,-3.0995946997197077,0.247135241333223,-0.9137994161997955,2
-6,3285.142625198832,8898.44048138637,72751.19354893746,-1.9575749523722732,1.9930128289150435,-0.9569751386636324,-1.0005998137086407,2
-5,3187.1037119509015,8919.483773144366,72816.52837037705,2.9830497574380153,0.7645091876371272,-2.159693028147303,-1.1404425215942684,2
-4,3154.001793517447,8927.164091496048,73000.81642133265,1.6369587102384564,-0.43643119038002276,2.9226644538142508,-1.2857057435757944,2
-3,2852.7213260473436,8880.975601683032,73209.1779444953,0.29727092186039733,-1.6269268988216992,1.719175068272829,-1.421904146412432,2
-2,2778.5765588879417,8936.132124357475,73362.28397556471,-1.0875659353051592,-2.844072663675298,0.5193177299745126,-1.606883665279672,2
-1,2745.1468460404976,8972.718270676267,73480.60810687413,2.595003210207158,0.9952196349253131,-1.9448702294148301,-1.7433118675575976,2
0,2815.328863159387,8914.587450994779,73535.6042548716,1.3791426416065216,-0.21821114960869922,3.1365358880390426,-1.757393246432521,2
1,2628.0185120109463,9004.83129487129,73993.89290067117,-2.6456145851908888,2.3482101934849644,-0.5789890441860279,-2.0666255410048606,2
2,3279.6787298913746,8949.204875896383,74299.13070569256,-0.18134015792695313,-1.3689817474001342,1.992118216201905,-2.1734583741288582,2
3,3570.053808685374,9002.010750204108,74721.15147109373,2.200697899903765,1.2037587193901313,-1.7264291207215567,-2.356058286554264,2
4,3898.7200109466935,8994.089324265815,74866.19978510738,-2.8342254757480183,2.509711198559146,-0.41452396989497686,-2.4197015058530416,2
5,4376.335359704899,8888.601252484788,75143.51882663042,2.1103826894694233,1.3012880470567618,-1.6163397190023663,-2.5564628987077977,2
6,4611.919045448095,8935.991944927293,75345.18608260575,-2.898959752597273,2.6100876012258354,-0.3086309099267076,-2.5903288426705653,2
7,5086.029176801604,9027.61620504295,75739.43465891361,-0.39782127522952976,-1.1056698467126764,2.2628253925821564,-2.6606466678116862,2
8,5402.128244556201,9160.96035660612,76306.82190261605,2.1188239891024425,1.4711022235945508,-1.4525130957944343,-2.7118482222827094,2
9,5857.64957783687,9144.934556833306,76400.45666746558,-1.649024503002997,-2.243262447425231,1.1139263636860763,-2.7629508666890734,2
10,6500.485987488825,9181.153328647848,77220.88191716713,-2.8948828696522138,2.8274731481206365,-0.08590541158483718,-2.8089774580673765,2
