Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
-35,10869.748607882393,10010.832087278579,78640.05750448088,-1.9411285022561156,1.378301714530403,-1.5742400531578955,-0.36688844909822027,0
-34,10689.224583374507,9978.703639404115,78370.56623083325,1.8735838971312617,-1.0860558371321527,2.2505361527922845,-0.3769522556610223,0
-33,10677.650987594401,10015.106766221303,78165.69993062338,1.9306111632546419,-1.0294997060299569,2.3066825269061146,-0.376071363651473,0
-32,10438.545707421206,9799.488351153677,77459.75270235747,-0.5299437218484264,2.7857850289364334,-0.15417445896050838,-0.3757692628879177,0
-31,10268.981173136337,9720.338947170974,77283.97146888492,-2.9889893640907914,0.32056080565012096,-2.6124821800614457,-0.3765071840293457,0
-30,10312.905430063434,9701.444238187514,76772.00573503696,-2.934190981440314,0.393072317911877,-2.5564836746353117,-0.37770730680500186,0
-29,10033.437549706441,9469.484073208769,76477.82998172817,-1.6426374852636842,1.7035446635485894,-1.2459347372603118,-0.39670274800337246,0
-28,9833.903771164682,9628.732400766285,76104.47715728974,-1.5898237955514154,1.7603244758088772,-1.1908292868693333,-0.3989945086820823,0
-27,9583.643667986391,9475.492113243185,75723.2697177608,0.9714517705544392,-1.9678686571240565,1.3781413293479186,-0.4066895587934791,0
-26,9280.790905859925,9258.88442299107,75523.41281327025,1.0338577498445518,-1.9029312538609235,1.4317961977737927,-0.39793844792924116,0
-25,9212.042538651656,9415.150072597557,75179.24870053583,-2.686945495044324,0.6713080702983698,-2.2836772453334846,-0.4032682497108393,0
-24,8842.947047140551,9268.954486827048,74889.41350989809,-1.3711164029805385,1.9781525734192131,-0.970843255952597,-0.40027314702794126,0
-23,8484.502307325725,9290.818035798515,74770.48010655395,-0.06180737006899222,-3.0150382917398937,0.338574805821929,-0.40038217589092095,0
-22,8198.580516124392,9206.698562107627,74310.10234422825,2.4699406333048612,-0.43249960617360333,2.9063314565592906,-0.43639082325442935,0
-21,8034.762424282143,9143.569936826783,74160.42999892066,2.52078186343311,-0.38625718364773354,2.960678388693139,-0.4398965252600293,0
-20,7862.071498170366,9220.134754542267,73814.60548038885,2.5716777042788044,-0.3224642938743238,3.015655186394325,-0.4439774821155211,0
-19,7270.904193992488,9227.861289693128,73649.03163722758,-2.421981161950819,0.9667555604998115,-1.955414484571228,-0.4665666773795909,0
-18,7163.683655213666,9058.198975670563,73624.9976509195,1.3834393476585347,-1.4777653532302601,1.869031326423008,-0.48559197876447335,0
-17,6839.986601976844,9177.145988430933,73377.37675985864,-2.3378069463946187,1.0990011772567783,-1.8463916995371137,-0.49141524685750504,0
-16,6701.774549101307,9056.859354894634,73375.1269727239,1.4558510016351145,-1.3932064742480115,1.9786309287566821,-0.5227799271215678,0
-15,6285.188776329279,9020.651842721209,73235.55454865049,0.22419847441691937,-2.561457974788132,0.7746736836830876,-0.5504752092661684,0
-14,5925.311016386174,9086.766165099696,73032.4282345209,-1.0016209639762246,2.500491281581397,-0.42983928519241654,-0.5717816787838084,0
