Iteration,Bxs_100Hz,Bys_100Hz,Bzs_100Hz
0,35082.60784303107,6482.122182759337,67659.60013716562
1,35823.81881528683,6728.665378053011,69018.11347309747
2,36609.04092980896,6971.993539699308,70302.92062015434
3,37357.95667279381,7020.292358974643,71568.74535448878
4,38017.20191433884,7209.536500223093,72911.63305445146
5,38579.638506808216,7348.58192362498,74077.38414811633
6,39300.47381938191,7297.421962408782,75170.44561445022
7,39735.380899826385,7602.481828095675,76465.021587324
8,40414.35402447737,7546.227951780976,77383.9971434639
9,40829.45190190125,7709.146431228566,78347.92234601422
10,41448.884905428225,7899.372452882649,79258.47332688126
11,41917.58409597221,8013.997372039,80277.00364245205
12,42373.794633654725,7975.756495009128,81323.47782371179
13,42899.699276528714,8083.68378001545,82191.93979809394
14,43389.88437633933,8121.825073641085,83268.99178427426
15,43856.481976125324,8275.006243574067,84333.54254259191
16,44356.087103227816,8314.068195215506,85187.99048845471
17,44761.18673475264,8238.047201074902,86066.73235679982
18,45220.39644716049,8412.59356699487,87021.19593342519
19,45665.4482803465,8470.56678821251,87878.44211048535
20,46155.44516798828,8549.960577702384,88848.32090748138
21,46330.26687178986,8659.68571047312,89682.50800709843
22,46751.01307310389,8753.708870323208,90554.74624158257
23,47272.288324989,8832.374567513965,91358.70918130653
24,47750.35174347608,8695.357662423798,92278.66235792074
25,48125.14174611236,8908.392514464676,93189.06750223345
26,48458.25510616255,8988.684620851667,94021.72121002407
27,48878.409092947906,9021.46626834558,94742.4580308242
28,49174.55914260384,9236.487955017434,95511.19769204408
29,49713.61883356215,9174.12857724868,96071.127869806
30,50110.486758325445,9387.824561958818,96962.21359764977
31,50400.68986621243,9347.028209921871,97617.94157425177
32,50741.20067341972,9602.383935002008,98287.28885863986
33,51110.14063912071,9480.552769398522,98889.15505982036
34,51378.65656523086,9513.978978121815,99654.60464524566
35,51741.047749598576,9664.11169675441,100065.27939223814
36,52114.44290387673,9749.74447564006,100692.21157569216
37,52403.834494644325,9648.303245117479,101173.8379983747
38,52513.865034190945,9880.454680884055,101688.05573628301
39,52877.880506137764,9921.776674171117,102252.0300724944
40,53068.279086596136,9980.067357141823,102743.67685288347
41,53409.19643872146,9931.752044059464,103351.53749244398
42,53624.55295343607,10044.402105926198,103786.46589241429
43,53764.19923580049,10118.085638557373,104055.23435346338
44,54054.70602765556,10163.608371967895,104633.73875990364
45,54323.70909384697,10076.231417123925,104896.59632864238
46,54653.09660069061,10227.37648217303,105514.28807663584
47,54747.76007426251,10086.303833535787,105736.00092315614
