Iteration,Bxs_100Hz,Bys_100Hz,Bzs_100Hz
0,3317.2030010420553,6195.084512205295,71236.23755618015
1,3371.0339211936407,6203.374453068953,72366.18597041837
2,3505.1808341221754,6268.969651511349,73432.04032701315
3,3450.3099728527923,6266.717666829142,74062.16464852386
4,3564.7159815810196,6352.476698047697,74992.91807346394
5,3454.0921922192397,6527.314194348424,75683.82431020176
6,3441.6540617212886,6461.634481483076,76310.62229735438
7,3671.5597225847823,6354.314809686489,77086.35786775089
8,3538.3278141571755,6468.652150711508,77737.56878822185
9,3690.087999124377,6645.408987212949,78239.56822478988
10,3624.920659482837,6558.10664681434,78956.24110016525
11,3770.187207660886,6660.218960435014,79549.72825992618
12,3685.605192346562,6894.499636468894,80221.88418908787
13,3641.0234953344548,6914.6490717795195,80498.46798436911
14,3628.594690074038,6905.304229380827,80992.372450749
15,3843.401452312279,6947.69025879181,81401.79932038143
16,3783.7651846240024,6960.871769578224,82010.51244034796
17,3772.9242846647694,6934.03861875854,82479.84050864329
18,3823.7705352927583,7088.158089581179,82866.12634570673
19,3907.461142677331,7153.3850949219905,83142.3791260697
20,3867.2547145801923,7172.031819133449,83594.72029738044
21,3791.2927963058446,7074.222774170356,83959.96555218499
22,3838.8833460269225,7270.481786494147,84170.78139987138
23,4016.4765668365885,7349.753420539704,84577.60586839206
24,3912.8711045674618,7249.563935904768,84762.22571099877
25,3990.594388717438,7232.227234209755,85202.38420082108
26,3890.880200029217,7194.313596468836,85394.8519146265
27,4111.619008636586,7419.0973914643255,85787.61298694028
28,4026.7993292880974,7283.941443119683,85974.68338747283
29,4118.712284643476,7237.350163722541,86286.27044699587
30,4111.07555848103,7436.226934016865,86566.20769178394
31,3992.1401004496834,7259.187945016707,86958.73257058689
32,4028.3316730271126,7476.790904678848,87140.14923668237
33,3982.5465844401074,7281.980964153069,87373.96896059062
34,4213.290261182578,7384.85501158005,87624.6691406785
35,4137.3789875498105,7393.462020313097,87747.66057522157
36,4109.476995059472,7362.42420200581,88010.91877656568
37,4048.212542239619,7428.120872875496,88263.02093961494
38,4076.5318537084845,7482.844380143093,88453.48045431718
39,3977.6837467991,7428.6479809190905,88640.80223904733
40,4013.83815605072,7366.094253070765,88849.52959170514
41,4078.9830945501485,7650.991845420026,88994.92746528986
42,3974.8580500958224,7628.530861020483,89217.29122706642
43,3944.5974031785695,7572.250339549048,89504.34773057148
44,4198.184586101827,7719.4639122366825,89670.19203604112
45,3962.56842298492,7550.337166096492,89750.79494015731
46,4056.415042474036,7735.762448379133,90176.58181033554
47,4131.318777198877,7723.957987740774,90195.0287357301
48,4097.008314813138,7635.085711041805,90341.69850077365
49,4227.263826689458,7547.66947045626,90794.01363503322
50,4190.250562213787,7741.444033327862,90714.19987007094
51,4201.4226822969895,7758.272312765372,90921.23214725778
52,4073.5912986987564,7766.675814376556,91079.9155070517
53,4218.977291269423,7772.402801815942,90904.34701405076
54,4188.129486642284,7609.426599865597,91112.83355902613
55,4069.5040870979637,7744.325071937121,91150.76680119029
56,4331.1459956699255,7847.384612616207,91427.49845613382
57,4180.565310019393,7776.235573778105,91463.30000718235
58,4098.24420237563,7867.914222917413,91438.14510620105
59,4195.477397371023,7895.920178971444,91480.32242224886
60,4278.743093651358,7788.218009258842,91511.6456993931
61,4243.782864793709,7837.605356779764,91646.30469086627
62,4097.108020056779,7943.205140890424,91534.61244954588
63,4264.984809493052,7954.154171904339,91548.8138078025
64,4164.854040719896,7940.441008972342,91806.25741658898
65,4269.024013565903,7857.621828804087,91749.94194143458
66,4296.685867083275,7927.637333840465,91775.89012260662
67,4135.0515998158335,7865.751169942794,91861.32688925015
68,4200.8740921484905,7851.803304815654,91915.29397895354
69,4299.187739478758,7917.416401470757,92203.33659912579
70,4241.225324413865,7801.816725500978,92303.95668510516
71,4347.236825794167,7795.418347774659,92164.88017302501
72,4308.547832666508,7883.353141172766,92452.63814064817
73,4283.453009051935,7901.055660067403,92353.91124186711
74,4291.38601138523,7834.131551737745,92672.82582030895
75,4388.373271088233,7769.867834257637,92674.88205833148
76,4411.535842148545,7788.079567711889,92688.7472345127
77,4454.85484345899,7948.30703435523,92973.84100482911
78,4215.039456966574,7851.547249201376,92942.38507899776
79,4292.832429575564,7887.689739485376,93136.91335523875
80,4246.555436803817,7857.005558219363,93214.653716074
81,4339.094353843491,7971.098114826463,93253.00876624741
82,4270.981137578979,7825.673793765843,93420.57237569585
83,4132.353437960032,7969.653001614406,93457.89461935233
84,4152.298742051941,7898.890409622698,93572.7601039561
85,4255.62312649589,8139.433728595818,93710.01094980397
86,4200.511576726814,7924.093751777778,93816.52370511877
87,4179.795630219852,7924.30702347448,93965.28568117853
88,4260.735995504373,7927.88310603874,94077.94700876079
89,4432.125719745242,7843.6441577086935,94201.53116755784
90,4162.783117313493,7999.456867894456,94262.43797672982
91,4049.4707709452473,7991.266031218094,94500.88239933159
92,4252.556183111776,8024.911289681968,94332.53999886215
93,4194.752133939594,7965.844488142223,94439.23201005366
94,4258.353824557808,8080.501743187905,94674.8895628023
95,4316.720186882859,8125.017318208297,94591.61757176882
96,4310.007069357495,8184.006929663708,94560.74982962199
97,4280.9573934864375,8045.38252306416,94663.46996449509
98,4314.242759014981,8048.2421933151945,94704.34474267547
99,4215.226194335247,8148.3036743578705,94576.2145102558
100,4231.968994324683,8177.44579926697,94787.81301903116
101,4376.280624101277,8162.904384197756,94765.36122950864
102,4275.809761603483,8056.067224747306,94854.75398328064
103,4458.098292956623,8142.274371106315,94772.7239324594
104,4442.56017911119,8097.413815025936,94695.38179082556
105,4311.7691479742525,8186.283178541695,94706.4543226077
106,4418.179432210172,8181.999496095338,94716.08329570176
107,4522.223216431989,8048.635754322617,94615.79947576666
108,4282.379565348242,7992.976439869503,94718.80770893322
109,4267.501780579015,8181.212487393012,94735.9702598592
110,4492.513087525783,8146.374488082439,94651.0773527005
111,4176.24060654501,7975.3804897288055,94764.31820207715
112,4403.436408342234,8261.63930222725,94782.45325175748
113,4446.948885239427,8009.345550697516,94875.62566491382
114,4318.7616257447835,8205.99277142413,94889.61961584957
115,4543.268138353542,8014.2063810154705,94975.4764486959
116,4416.027856345567,8110.317032778625,95010.93357524075
117,4495.394347821641,8047.463754507347,94804.07859228784
118,4364.668014759355,8247.639535169863,95068.50220296509
119,4550.969453929923,8082.438178414838,95208.34411066525
120,4459.589943530735,8144.689778558726,95326.85098066351
121,4414.845416220963,8123.133591301158,95218.52269979876
122,4427.0286415557675,8066.406946885751,95343.49109975681
123,4331.817403897612,8185.163435842184,95216.27506886657
124,4604.347505988359,8329.23437647139,95342.19783624627
125,4443.318553611815,8119.6834791032015,95406.07812351153
126,4465.318694643325,8160.806014993467,95459.67350605794
127,4442.039499505208,8140.814112034189,95573.67364446414
128,4203.061057870115,8171.922649912653,95448.28474842726
129,4335.257134207742,8105.06770862774,95674.85342075082
130,4397.524716067423,7911.639304527004,95746.26352254636
131,4300.667671695873,8087.614834814204,95891.46213713838
132,4371.969012903389,8121.5302546917155,95870.17929266513
133,4335.312180274229,8081.779435938682,95831.06362843647
134,4515.208015568102,8220.328009941299,96027.96177290558
135,4326.377447863785,7996.758226739075,96041.55350200731
136,4346.05093179485,8113.825493937039,96010.04669297331
137,4222.89633035231,8236.15031069497,96054.94005786003
138,4412.729370894682,8029.957455192007,95879.62713993968
139,4316.445543916516,8081.881363344567,95992.44766829198
140,4460.2947120156905,8106.824125420663,96112.00448583893
141,4431.207576204425,8138.396463041806,96088.00079277593
142,4333.661642384754,8262.017372728951,96007.10771680412
143,4284.400461337083,8289.990832303463,96288.026058558
144,4436.750050539468,8219.719885888488,96220.50291938784
145,4466.183651833173,8185.338524197552,96136.51460426718
146,4404.2112210669975,8216.883906012892,96100.66701442582
147,4305.360400128581,8271.49860033965,96266.58647888759
148,4403.661470815157,8083.50718439426,96136.01878355305
149,4518.871088762285,8078.343105149617,96129.8752615994
150,4345.119074298223,8339.693744639846,96183.1161802216
151,4468.070675048771,8260.882263250047,96307.56033668877
152,4407.625364408013,8323.752753093837,96255.7269891772
153,4445.583289179704,8206.338048965676,96259.00010759583
154,4492.0226229456985,8269.946252705828,96180.7860912361
155,4371.876618651533,8268.545719541786,96197.8352016965
156,4417.909887509759,8208.806771947553,96014.79117760056
157,4446.094705248718,8191.622627607044,96147.15410070647
158,4459.157145558597,8257.497322276273,95989.68306700265
159,4557.283256635681,8203.705563758243,95953.43341257509
160,4452.584535107642,8283.694884689345,96107.35651010576
161,4392.216419579645,8207.617345007331,96121.45563765713
162,4481.7636215637185,8151.717684304147,95891.84828953055
163,4358.413015794285,8168.423398957839,96052.56521585063
164,4311.199296968627,8105.43164717996,96043.25325166115
165,4379.097409589817,8205.50030902297,96014.17689085355
166,4394.489423171292,8062.287835466939,96133.53949287214
167,4525.798108325772,8237.787592407076,96086.98375292587
168,4572.167491146162,8312.941149751929,96195.19589149067
169,4566.391902271497,8144.038998372772,96149.19043631545
170,4530.0215251958225,8242.648298034217,96208.64556395441
171,4417.153921502169,8327.862550907716,96226.83994392648
172,4389.577764533461,8072.000535820874,96331.59188061122
173,4437.369366400076,8178.746724119559,96295.98012992169
174,4399.1827158320875,8163.501437019209,96482.02731961104
175,4229.342119445964,8169.37523075085,96488.55810104229
176,4315.305238675247,8056.144941054968,96692.03843581409
177,4491.294278994202,8256.163756248867,96548.8165056665
178,4374.277192775245,8230.901557829608,96601.29851497227
179,4452.250978103168,8245.562480502696,96439.03364382051
180,4313.835761455128,8232.854424480629,96586.74513512145
181,4340.12582968549,8204.706496228744,96796.95806288894
182,4478.705125080982,8257.464604056724,96884.33826908928
183,4488.710461191469,8122.93554199436,96728.27240414916
184,4462.0220940609,8252.227310686885,96828.88303950713
185,4324.396264481635,8253.199954930325,96848.41589072891
186,4392.5287703370395,8143.258591341707,96766.50666107809
187,4420.78073117977,8254.421458408404,96829.88755075105
188,4404.297536875123,8271.203223924467,96950.90566382918
189,4469.60935046254,8089.966732393877,96844.32774040719
190,4408.737448113365,8180.395252923645,96752.42556274231
191,4312.272066264213,8268.320670995832,96819.07337301625
192,4375.969655432516,8370.996145593857,96899.98533885079
193,4315.126902839996,8318.624407539835,96925.09122766183
194,4475.387197388171,8250.829599382956,96670.63309264956
195,4291.560465746336,8242.281270346622,96697.08181878879
196,4508.365076360901,8232.6787288282,96781.04095568799
197,4569.393009140372,8276.625276254916,96825.84877095887
198,4389.119322827275,8242.085617943567,96663.86461303858
199,4454.68469355794,8217.240231301937,96721.55467339471
200,4524.599115152807,8221.283860272324,96860.63939540609
201,4580.7626909402725,8392.119793643104,96756.62597914747
202,4393.1766629888125,8295.994809038673,96609.17181344607
203,4388.283038055448,8435.546887194452,96689.87750133009
204,4507.208356391857,8343.112369350312,96677.44163921557
205,4490.429275716201,8127.920794007133,96585.8993671346
206,4507.151211882926,8306.8515792473,96694.91412717428
207,4483.326903917789,8316.257968771384,96838.89997466937
208,4305.384888110013,8183.737969361946,96688.55435076151
209,4603.812366047934,8240.161700853801,96846.25502183847
