a,b,c,d
-7.177938033750116e-05,0.004285737651320828,-0.27269858141257663,-0.8930498114606594
1.9248714934522173e-05,0.0016835400595783872,-0.22251403389626784,-0.606499348687633
3.3803325674860494e-05,0.0007819697871080251,-0.16901523655095677,-0.5824979844187752
3.47740666680131e-05,0.00033278346404976385,-0.12478805243926436,-0.6301455970274046
3.087719235682278e-05,0.00031386271658235545,-0.09626077849456798,-0.3514561780997355
2.8008974078138645e-05,0.00022526839684659596,-0.0719698435678432,-0.24923645196360417
