Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
0,-35,77.09657513131759,45.51423501110456,412.135905905491,0.6946317054426889,-2.3755833470090604,0.9898049792851207,1.275623052952465,0
1,-34,75.70542679336518,45.65357688630072,406.768827281498,-0.5112415593600901,2.7171908120009953,-0.2122915006528759,1.2718462680876828,0
2,-33,73.90325699896042,45.134268931624185,400.73566075007864,-1.7074709121754739,1.5108161133804958,-1.4127474554145492,1.276072870033972,0
3,-32,72.54692150727932,44.51089894900597,395.80364385986206,-1.65960653775851,1.5561044847260546,-1.3574451668514276,1.2686349558878138,0
4,-31,69.27824377525847,44.34904270211394,391.37712975427723,-2.87134196913335,0.361761912825255,-2.5605772720987177,1.260031629760264,0
5,-30,68.19007612233817,43.139434658472,386.1312315022039,2.2076406321640696,-0.8491907859293956,2.5188124979535993,1.2596244610053668,0
6,-29,65.72405169511369,42.56572718676755,381.71420918839846,1.0023504914958765,-2.064093180599548,1.3175113547684882,1.2556354635222853,0
7,-28,64.05852987736404,41.86666834393021,378.41225887683333,-0.19529859882479322,3.0308821492261675,0.11547687461319943,1.2600208533569042,0
8,-27,61.077045803763596,41.25247184710977,372.3377187584977,1.0958687080342722,-1.9372526403164712,1.4279139016630582,1.2387511331661107,0
9,-26,58.48858683141188,40.722398170537055,368.7671214274086,-0.10626527989891373,-3.1406307465315884,0.22578249193608496,1.2387485549598978,0
10,-25,56.61129413170833,40.89757009001361,366.40589395160913,-1.3259303748333373,1.9249112223684715,-0.9754249136245056,1.2202908655860645,0
11,-24,53.649257886071396,40.530099005417604,362.928753274427,-0.015927791061322895,-3.0314264135443363,0.33548724307734745,1.2193812926562266,0
12,-23,50.605412482132216,39.96034092270326,359.49221538439616,-2.4889844975389797,0.791828381491061,-2.1255157666515876,1.207327595907504,0
13,-22,48.986439543805794,39.73489321241039,356.0583198421353,2.5861846895099836,-0.41112876422273453,2.957399247772915,1.1995817685319654,0
14,-21,46.13565820194215,39.31029577800639,354.03930268404304,1.3712438251525918,-1.6253760006587787,1.752548105157708,1.1894920467897805,0
15,-20,43.35491227422469,39.26869782509692,350.56568738566665,0.1524225867013526,-2.8263679084061826,0.5524215109992784,1.1707974024969712,0
16,-19,41.116033236410054,39.08955884813072,348.5236001224088,-1.0510022897513436,2.2575025278004937,-0.6488376315317561,1.1686316685753093,0
17,-18,39.00002176806613,37.99960870097297,346.294691788535,1.491709140022523,-1.4573481285280554,1.9200262095298204,1.142479257287599,0
18,-17,35.817739590022434,38.64870051611518,343.75956071897093,0.2651302268467998,-2.660349132911018,0.7172002859530358,1.1187262676886602,0
19,-16,33.71437571964066,37.47587988357615,342.54451901770085,1.5593825018888208,-1.3745229297127204,2.026816491975537,1.1033623367081802,0
20,-15,31.205586464471164,37.75855828482529,339.6339791312964,0.3040842779758909,-2.5631301970169327,0.8242441756764411,1.0506364290943466,0
21,-14,28.5362814994958,38.08976572968298,338.11174210211715,1.591898516294541,-1.256096208372892,2.136662578876314,1.0260322642131232,0
22,-13,26.944861693674994,36.76767147978941,337.01452498121654,0.35956729544901406,-2.4500370400523153,0.93387533955497,0.9964882826889401,0
23,-12,24.183542668752924,37.112894900921546,334.54975952468953,-0.9011513153315629,2.6269726371267375,-0.2668027185288049,0.936447729992139,0
24,-11,22.112886373243676,36.52751098460218,332.96497995630546,0.3367241190505987,-2.3308624563655385,1.041553002149585,0.8659674436959106,0
25,-10,19.666292042058597,36.41200885852182,332.8067800067795,1.5961929755738045,-1.0350045099978384,2.3542925310447527,0.8126967713239486,0
26,-9,17.889415890670662,36.472189363496845,331.2385011700352,-2.243314760152878,1.5320613160780976,-1.358731057548344,0.6862126241903628,0
