Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
0,-35,89.06075725255651,44.73794130662378,394.8068827120905,-1.5060449262593067,1.660815351269152,-1.240099935493417,1.3048513360290066,0
1,-34,86.70081351010514,43.947171684952814,389.90162973059284,-2.7035782631770493,0.4732872752372241,-2.4398211793463176,1.3070392429641648,0
2,-33,85.52298233319144,43.047260235212256,385.56960534937366,1.1158493858066179,-1.9834320693181544,1.3827090174929522,1.303936695108562,0
3,-32,82.60777399847669,42.87986570132484,381.4185798192839,2.423930721293646,-0.6836839244699946,2.694608175594249,1.3001188724942931,0
4,-31,79.77420678554743,42.60677354660551,377.61599031688513,1.2273217245147843,-1.8895524309755178,1.4948831956093485,1.3032348557003326,0
5,-30,78.30093599960384,41.75719239056182,372.6970869055471,0.018485122479364964,-3.0763378204215535,0.2919915852700149,1.297289864004247,0
6,-29,75.38749928035672,41.001620015971234,368.98740169213374,-1.183628524517836,2.0099281145916623,-0.9107400866173587,1.2979078888944198,0
7,-28,73.18238896051238,40.79488570032851,366.1928343206204,0.12005234027164251,-2.9747790196720847,0.40099048860876907,1.28985817845777,0
8,-27,69.8729407307476,40.697594632150235,361.2721898452352,-1.0849077735974957,2.1030838071071067,-0.8005832412730455,1.2864717944704465,0
9,-26,65.9994428210292,39.777902478886155,358.8267752777141,-2.308848280465606,0.9098376297534757,-2.004873662670751,1.266821709000041,0
10,-25,65.24936882427012,39.88764231655763,355.12687047400436,2.7739802741508943,-0.30212017463912827,3.078388057555218,1.2663885433905726,0
11,-24,61.36003920387008,39.03820194528403,352.33690737738766,1.5647745327498894,-1.4961222344235512,1.8753475645246356,1.2602232950201504,0
12,-23,58.9286545853334,39.43795505580258,349.73008346208155,2.874939286863773,-0.1828013257078976,-3.0962613982528904,1.2588117047319738,0
13,-22,56.77431465236254,38.63228661312308,347.37910352556116,-2.1047360932050907,1.1408191235547025,-1.7850553918648255,1.2511156254546316,0
14,-21,54.04242751525954,38.785986810540265,344.4187971584176,2.9520589321698307,-0.07124199478789389,-2.988639588426291,1.2283095402114323,0
15,-20,50.23981066549919,39.277414613659275,342.50277762631674,0.5017140218634157,-2.5657127796933863,0.8369212782891471,1.2355890703691657,0
16,-19,48.2250913907002,37.563347067596794,340.4923485938928,-0.7286607861952141,2.521308161561572,-0.36510121657438704,1.2072367571740692,0
17,-18,46.3185906845557,37.95485678458538,339.1200508592243,-1.9418879676465617,1.3467577447193733,-1.5666546710709253,1.19556303021926,0
18,-17,43.0791391194616,37.24365499528144,337.3522066203994,-0.6506831441691968,2.645310958040325,-0.25448145051988263,1.174594633145582,0
19,-16,41.06906389760427,37.2383049555844,335.41156898650615,-1.866244602543782,1.4360699530748324,-1.4561608558680377,1.160712580119152,0
20,-15,37.32672739614307,36.836508184403854,333.863163579737,-0.573132508915318,2.7519780574615567,-0.1426378227244347,1.1403016406040134,0
21,-14,35.40393112543445,37.07130949220461,332.5155887047945,-3.059090930878564,0.2880613702137197,-2.6020790016876085,1.1137843976039417,0
22,-13,32.84249810525759,37.05196995262803,331.30655458667155,1.9817729046214547,-0.8913562754033031,2.4782788249028695,1.074290406513482,0
23,-12,30.568783548273256,36.182252946254636,330.48765631598974,-3.0117428218774225,0.40281194416065313,-2.4916368320783837,1.0506903369958582,0
24,-11,28.033087558846265,35.802020753601454,329.4148696343795,2.032159538702975,-0.7868862766985476,2.5895566529829135,1.0133992125149582,0
