Index,angle,c_angle,error,by,bz
71,-35,-35,0,12040.290167147034,101584.13254371568
72,-34,-35,-1,11510.573005077404,99225.12513344266
73,-33,-35,-2,11234.887223152053,98721.1712501824
74,-32,-35,-3,11094.665006640613,99351.53023095866
75,-31,-35,-4,10872.23487495094,99621.8042137016
76,-30,-35,-5,10558.414838084736,99219.43622256932
77,-29,-35,-6,10240.724203072194,98503.8056944174
78,-28,-35,-7,9930.041757214554,97745.8670062262
79,-27,-35,-8,9594.472072759008,97054.4958136717
80,-26,-35,-9,9254.629056550262,96444.87878272469
81,-25,-35,-10,8961.65243067011,95863.16949294638
82,-24,-35,-11,8724.099254193665,95272.226181664
83,-23,-35,-12,8508.45733814226,94689.90155883618
84,-22,-35,-13,8277.370352155789,94013.75748757672
85,-21,-35,-14,7997.330566154314,92923.19347093634
86,-20,-34,-14,7672.018862400248,91441.49818436206
87,-19,-33,-14,7389.106890371744,90470.02250511412
88,-18,-33,-15,7230.5604653603805,90660.88027221349
89,-17,-33,-16,7145.109024642865,91168.70674221683
90,-16,-33,-17,7005.233203140731,90725.45890488892
91,-15,-33,-18,6767.094590725006,89357.30448033349
92,-14,-33,-19,6520.627656033738,88336.67169470288
93,-13,-33,-20,6348.910010652152,88365.75027142858
94,-12,-33,-21,6202.266663922301,88500.87279653529
95,-11,-33,-22,6011.692543411456,87860.8656846302
96,-10,-33,-23,5814.136862514957,87070.99243187881
97,-9,-33,-24,5654.034498126337,86603.52589414122
98,-8,-33,-25,5494.442423562496,85690.15865754578
99,-7,-35,-28,5326.606443857549,84384.58004618835
100,-6,-35,-29,5229.254957069309,84163.62780894377
101,-5,-35,-30,5237.908621473731,85386.38589672463
102,-4,-35,-31,5276.570118571102,86704.00328707782
103,-3,-35,-32,5255.290947666923,87168.08918198921
104,-2,-35,-33,5168.941004569717,87016.54494424265
105,-1,-35,-34,5082.376089061074,86767.89062353433
106,0,0,0,5033.181321234824,86640.2330498179
107,1,1,0,4990.936559148253,86607.89188934278
108,2,3,1,4923.898578508244,86586.18368851957
109,3,5,2,4845.576509749664,86552.28101737413
110,4,6,2,4775.176215649194,86564.16605012164
111,5,7,2,4719.061063146854,86691.70421628287
112,6,9,3,4683.40688318763,86919.82895997447
113,7,10,3,4642.465470691352,87059.43227546981
114,8,11,3,4552.626141412065,86746.55603703985
115,9,12,3,4429.302338777143,85877.27885755996
116,10,14,4,4339.177914717938,85032.66083063766
117,11,15,4,4327.222999925891,84942.70837544577
118,12,16,4,4390.903096798249,85867.29218410791
119,13,17,4,4474.919964000999,87418.19424284926
120,14,19,5,4489.194973919071,88381.7607273634
121,15,19,4,4396.725951887594,87692.82358914547
122,16,20,4,4263.285109883867,85901.13849900053
123,17,21,4,4186.892996918576,84675.61838747014
124,18,22,4,4217.617476148689,85194.8723440253
125,19,24,5,4347.778288731817,87488.61780853572
126,20,26,6,4514.7155884374615,90529.37061458366
127,21,28,7,4637.366686884702,92967.00545299349
128,22,29,7,4704.116948066227,94321.29974955416
129,23,30,7,4759.0246640372025,94983.38659941209
130,24,31,7,4812.527482035872,95222.06758138991
131,25,31,6,4864.250285573382,95227.47132297629
132,26,31,5,4949.74448940623,95707.87587683252
133,27,32,5,5073.146846388361,96958.68539448109
134,28,33,5,5194.081162517545,98329.02763274622
135,29,33,4,5326.971254992557,99849.25376788844
136,30,34,4,5517.414844924664,102199.5906261824
137,31,35,4,5740.610137467568,105007.1038033528
138,32,35,3,5950.998377886752,107460.29172570028
139,33,35,2,6165.980062344459,109616.63213018992
140,34,35,1,6423.55177570802,111988.43587178114
141,35,35,0,6719.718374371936,114715.5082240755
