Index,angle,c_angle,error,by,bz
0,-35,-35,0,9098.261071046563,82959.81980839875
1,-34,-34,0,9086.336106198303,82776.55450187088
2,-33,-33,0,8774.260920425731,82748.1646275865
3,-32,-32,0,8767.853356020147,82340.22030327503
4,-31,-31,0,8568.63321272227,81994.22397422585
5,-30,-30,0,8454.00968167803,81875.0278945213
6,-29,-29,0,7777.551247613251,76570.71810813164
7,-28,-28,0,8148.556957198436,81488.335410498
8,-27,-27,0,7435.396206601849,75915.90466735102
9,-26,-26,0,7835.059505744035,81053.4973218729
10,-25,-25,0,7629.7756339792895,80567.45569012247
11,-24,-24,0,7480.727331464317,80322.18635366682
12,-23,-23,0,7383.260773221814,80098.53287709034
13,-22,-22,0,7100.613404200155,79892.77785180003
14,-21,-21,0,7184.521078029441,79514.31722826055
15,-20,-20,0,6997.325745066484,79251.7514526163
16,-19,-19,0,6790.300473484807,78996.03438770524
17,-18,-18,0,6650.94754346667,78641.0506606774
18,-17,-17,0,6599.174278502984,78351.15813769276
19,-16,-16,0,6414.102942672749,78086.87439140945
20,-15,-15,0,6247.915114718312,77866.4737503271
21,-14,-14,0,6152.572919700137,77869.21809948463
22,-13,-13,0,6169.269727335506,77425.63438121507
23,-12,-12,0,6022.751737383895,77365.33745361769
24,-11,-11,0,6144.478804814541,77045.89136430368
25,-10,-10,0,5906.892982892207,76926.37161336391
26,-9,-9,0,5793.208798851336,76727.25567549316
27,-8,-8,0,5738.394257472046,76733.38104433578
28,-7,-7,0,5767.769124311253,76664.98805218685
29,-6,-6,0,5728.165190863613,76408.0332481281
30,-5,-5,0,5439.846617313459,76581.04007435519
31,-4,-4,0,5553.403270536574,76468.30459619887
32,-3,-3,0,5347.036889497017,76594.89222809894
33,-2,-2,0,5435.572780831727,76519.81516413906
34,-1,-1,0,5233.93929775927,76435.84106091018
35,0,0,0,5292.886502539384,76429.27848351169
36,1,1,0,5257.731673430837,76667.85798391755
37,2,2,0,5153.498300750107,76722.48431065585
38,3,3,0,5149.566428875279,76783.52332972472
39,4,4,0,5073.991653754886,76784.39002221159
40,5,5,0,5108.9675142367005,77257.58795555326
41,6,6,0,5091.821380135213,77243.4102191446
42,7,7,0,5107.595592512368,77443.08999018102
43,8,8,0,5208.270292864805,77800.15812501544
44,9,9,0,5230.1784786025655,77954.92331923675
45,10,10,0,5071.10840311114,78264.07820424868
46,11,11,0,5166.631135308795,78477.35414871204
47,12,12,0,5204.914074260999,78798.95141117212
48,13,13,0,5261.628237359649,79397.55023253257
49,14,14,0,5224.9503967502105,79780.43566171794
50,15,15,0,5342.368397879632,80267.03150457337
51,16,16,0,5528.886932440031,80852.24277568521
52,17,17,0,5372.326783306756,81375.17580988485
53,18,18,0,5426.352789851203,82096.99654132144
54,19,19,0,5659.566889260627,82764.31783982666
55,20,20,0,5772.93653906316,83585.99739858515
56,21,21,0,5801.344496619239,84295.81545681151
57,22,22,0,5765.271961321209,85105.48477087778
58,23,23,0,6059.363226107825,85957.77454559652
59,24,24,0,6109.75682497471,86795.24427385611
60,25,25,0,6502.453846263827,88316.18304719865
61,26,26,0,6487.161789770347,89305.2214831196
62,27,27,0,6788.762845184858,90473.3623171488
63,28,28,0,7031.664308639371,91854.01586335506
64,29,29,0,7130.542369904771,93113.8248365996
65,30,30,0,7448.473884937672,94567.63291186442
66,31,31,0,7827.354700513321,95805.25355751188
67,32,32,0,8166.417027950248,97667.8227506684
68,33,33,0,8438.602580629018,99535.3883287119
69,34,34,0,8865.285986538687,101389.12946481734
70,35,35,0,9397.5326858091,103982.6734451564
