Index,Bzs_mean,Bys_mean,Bxs_mean,motor_positions
203,-23.4124,-24.926,336.38880000000006,-204001
204,-21.1904,-26.351599999999998,330.044,-205001
205,-19.025599999999997,-27.9136,323.5760000000001,-205997
206,-17.2172,-29.6296,317.218,-207004
207,-14.9864,-30.4876,311.16360000000003,-208007
208,-13.098799999999999,-31.781200000000005,305.778,-208997
209,-10.9956,-33.5148,299.89080000000007,-210002
210,-8.676305220883535,-34.515261044176704,294.1020080321285,-211001
211,-7.1016,-37.62,288.376,-211999
212,-5.1216,-39.46360000000001,283.3116,-213000
213,-3.9116000000000004,-40.695600000000006,277.86,-214002
214,-2.3056,-43.216800000000006,272.558,-215000
215,0.05719999999999993,-44.4884,267.90280000000007,-216002
216,0.5192,-46.002,262.966,-216999
217,1.1264,-45.5796,258.2492,-218007
218,2.838,-46.7632,253.43120000000002,-219001
219,4.4308,-47.458400000000005,248.61759999999998,-219999
220,5.0424,-48.8576,243.958,-220998
221,5.786,-50.08520000000001,240.4776,-221999
222,6.940160642570282,-49.76064257028113,235.8020080321285,-223000
223,7.458,-50.952,232.2496,-223999
224,9.081600000000002,-52.008,227.0136,-224998
225,9.878,-52.88360000000001,223.234,-226000
226,10.982400000000002,-53.9924,219.6788,-227001
227,11.5148,-55.2288,215.27,-228009
228,12.733600000000001,-55.396,211.4904,-229000
229,13.877600000000001,-56.830400000000004,207.67559999999997,-230001
230,13.679599999999999,-57.882,204.43720000000002,-230999
231,14.0492,-58.454,199.9888,-231999
232,15.2284,-60.40760000000001,196.71959999999999,-232997
233,15.8004,-62.568,193.7804,-233998
234,17.1556,-64.6712,191.026,-235001
235,17.4108,-65.582,186.516,-236000
236,18.031200000000002,-67.1748,182.82,-236999
237,18.942,-68.4068,180.47920000000002,-237999
238,18.911199999999997,-69.696,177.0868,-239003
239,21.4368,-74.99359999999999,163.2092,-239803
