Index,x,y,z,motor_positions
0,855.8000000000001,-283.8,287.1,-1000
1,848.1,-282.70000000000005,282.70000000000005,-1000
2,860.2,-293.70000000000005,281.6,-1000
3,853.6,-294.8,278.3,-1000
4,849.2,-276.09999999999997,281.6,-1000
5,863.5,-271.7,286.0,-1000
6,860.2,-287.1,283.8,-1000
7,853.6,-278.3,273.9,-1000
8,861.3000000000001,-273.9,277.2,-1000
9,855.8000000000001,-284.90000000000003,287.1,-1000
10,854.7,-280.5,271.7,-1000
11,858.0,-283.8,279.40000000000003,-1000
12,852.5000000000001,-279.40000000000003,278.3,-1000
13,862.4000000000001,-284.90000000000003,276.09999999999997,-1000
14,855.8000000000001,-289.3,273.9,-1000
15,856.9000000000001,-277.2,275.0,-1000
16,849.2,-276.09999999999997,284.90000000000003,-1000
17,862.4000000000001,-290.40000000000003,272.8,-1000
18,853.6,-278.3,283.8,-1000
19,850.3000000000001,-279.40000000000003,287.1,-1000
20,854.7,-277.2,281.6,-1000
21,854.7,-298.1,277.2,-1000
22,859.1,-277.2,270.6,-1000
23,861.3000000000001,-290.40000000000003,282.70000000000005,-1000
24,854.7,-280.5,273.9,-1000
25,853.6,-284.90000000000003,284.90000000000003,-1000
26,859.1,-290.40000000000003,276.09999999999997,-1000
27,864.6000000000001,-282.70000000000005,287.1,-1000
28,851.4000000000001,-278.3,293.70000000000005,-1000
29,849.2,-277.2,276.09999999999997,-1000
30,853.6,-288.2,280.5,-1000
31,859.1,-289.3,278.3,-1000
32,861.3000000000001,-286.0,279.40000000000003,-1000
33,862.4000000000001,-278.3,281.6,-1000
34,855.8000000000001,-288.2,278.3,-1000
35,856.9000000000001,-291.50000000000006,281.6,-1000
36,847.0000000000001,-279.40000000000003,282.70000000000005,-1000
37,863.5,-289.3,273.9,-1000
38,858.0,-284.90000000000003,281.6,-1000
39,863.5,-276.09999999999997,293.70000000000005,-1000
40,849.2,-280.5,288.2,-1000
41,862.4000000000001,-286.0,282.70000000000005,-1000
42,854.7,-298.1,281.6,-1000
43,854.7,-280.5,283.8,-1000
44,863.5,-278.3,279.40000000000003,-1000
45,851.4000000000001,-278.3,276.09999999999997,-1000
46,856.9000000000001,-277.2,289.3,-1000
47,851.4000000000001,-282.70000000000005,280.5,-1000
48,852.5000000000001,-277.2,278.3,-1000
49,853.6,-277.2,276.09999999999997,-1000
50,864.6000000000001,-292.6,290.40000000000003,-1000
51,862.4000000000001,-297.0,284.90000000000003,-1000
52,863.5,-283.8,288.2,-1000
53,860.2,-290.40000000000003,290.40000000000003,-1000
54,861.3000000000001,-284.90000000000003,284.90000000000003,-1000
55,849.2,-290.40000000000003,281.6,-1000
56,856.9000000000001,-287.1,288.2,-1000
57,863.5,-284.90000000000003,277.2,-1000
58,855.8000000000001,-282.70000000000005,287.1,-1000
59,850.3000000000001,-272.8,278.3,-1000
60,853.6,-280.5,278.3,-1000
61,854.7,-282.70000000000005,280.5,-1000
62,863.5,-290.40000000000003,288.2,-1000
63,856.9000000000001,-297.0,280.5,-1000
64,861.3000000000001,-279.40000000000003,289.3,-1000
65,851.4000000000001,-286.0,287.1,-1000
66,859.1,-281.6,283.8,-1000
67,860.2,-283.8,281.6,-1000
68,849.2,-288.2,271.7,-1000
69,855.8000000000001,-288.2,291.50000000000006,-1000
70,852.5000000000001,-291.50000000000006,284.90000000000003,-1000
71,860.2,-277.2,279.40000000000003,-1000
72,851.4000000000001,-287.1,279.40000000000003,-1000
73,860.2,-276.09999999999997,280.5,-1000
74,864.6000000000001,-282.70000000000005,279.40000000000003,-1000
75,863.5,-282.70000000000005,282.70000000000005,-1000
76,856.9000000000001,-286.0,275.0,-1000
77,847.0000000000001,-286.0,271.7,-1000
78,855.8000000000001,-287.1,276.09999999999997,-1000
79,853.6,-283.8,289.3,-1000
80,850.3000000000001,-284.90000000000003,293.70000000000005,-1000
81,855.8000000000001,-293.70000000000005,272.8,-1000
82,856.9000000000001,-287.1,292.6,-1000
83,859.1,-282.70000000000005,281.6,-1000
84,854.7,-281.6,292.6,-1000
85,858.0,-276.09999999999997,277.2,-1000
86,861.3000000000001,-283.8,277.2,-1000
87,863.5,-284.90000000000003,282.70000000000005,-1000
88,854.7,-286.0,278.3,-1000
89,850.3000000000001,-289.3,280.5,-1000
90,847.0000000000001,-281.6,280.5,-1000
91,856.9000000000001,-281.6,279.40000000000003,-1000
92,860.2,-289.3,283.8,-1000
93,855.8000000000001,-279.40000000000003,278.3,-1000
94,856.9000000000001,-277.2,268.40000000000003,-1000
95,860.2,-281.6,275.0,-1000
96,860.2,-286.0,279.40000000000003,-1000
97,860.2,-284.90000000000003,275.0,-1000
98,853.6,-284.90000000000003,278.3,-1000
99,855.8000000000001,-271.7,282.70000000000005,-1000
100,858.0,-280.5,288.2,-1000
101,853.6,-281.6,275.0,-1000
102,851.4000000000001,-284.90000000000003,276.09999999999997,-1000
103,865.7,-288.2,281.6,-1000
104,858.0,-283.8,279.40000000000003,-1000
105,856.9000000000001,-284.90000000000003,271.7,-1000
106,858.0,-283.8,284.90000000000003,-1000
107,853.6,-282.70000000000005,271.7,-1000
108,851.4000000000001,-282.70000000000005,279.40000000000003,-1000
109,856.9000000000001,-276.09999999999997,287.1,-1000
110,856.9000000000001,-287.1,293.70000000000005,-1000
111,859.1,-282.70000000000005,279.40000000000003,-1000
