Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Phase Difference
-35,52.85041051003771,47.082718819090424,359.97414343265456,1.2127574140378214
-34,52.2482444719916,46.253689356709195,355.7496294397977,1.2181097130935703
-33,51.614362181930865,45.84797192011414,351.5743594448049,1.2177921329197403
-32,50.23336379180059,45.562626067908134,348.14997568525797,1.21889007933213
-31,49.41026199364368,44.68270471271694,343.8932637149171,1.212778583238497
-30,48.17739419008947,44.393683118912925,340.76362692646495,1.2055260584660965
-29,46.55841441659211,43.64699685202925,337.028146647136,1.2010322981088493
-28,45.7296500261207,42.918926706501,334.10691291419477,1.1919737053006945
-27,43.71225864337914,42.69478261969311,329.9270427146818,1.1894752297514533
-26,42.31375459200035,41.616014292924056,327.35977011862707,1.1815665800520143
-25,41.02350502212479,41.702810954755506,325.14935799705086,1.1759138071676125
-24,39.21082592649298,40.99183562049435,322.1606941216136,1.1644484605438652
-23,37.45511612670733,41.10070772062459,319.4426544079992,1.1541671826763178
-22,35.80760926864587,40.213845322517244,317.2394401871332,1.1389355916801656
-21,34.31649321833877,40.34007464171149,315.0725120799571,1.1267891247945199
-20,31.981193510564164,39.86230181390888,312.91436386998754,1.0981070621526932
-19,30.97773456407325,39.75333179051182,311.4161518272263,1.10195562125344
-18,29.17247670316098,39.27472823778027,310.00052722041784,1.066370774800827
-17,27.54680391529477,39.08732465859374,307.68999409667987,1.0364377983781072
-16,25.522386926790375,38.65738330201678,306.02215889700966,1.0161508604497802
-15,24.036856414171073,38.36787932015235,304.59994437279875,0.9846325637484167
-14,22.54772041882083,38.2580580049191,302.88958754549714,0.9277252481632431
-13,20.931261826152536,37.63632570881541,302.1520942463216,0.9213163609706635
-12,19.457672705684654,38.08671582431122,300.7257955743712,0.8686046813948881
-11,18.075694464285707,37.523557713500985,299.99183350135496,0.8365624255006324
-10,16.69236898101794,37.640734240193545,299.21981989741624,0.7389502339928407
-9,15.53399385908279,37.728905379186976,297.88703945758976,0.6641414572019443
-8,14.256255452398241,37.68254132303105,297.3810142313557,0.5597362240268452
-7,13.187623943930282,37.099817686948285,296.9878926742386,0.44357439347835764
-6,12.117511696895527,37.112257444726154,295.98221445339294,0.2776500422777799
-5,11.21624605796075,37.026726638031974,296.02604195571524,0.16748911763786287
-4,10.833605935116651,36.691856919870055,295.4691047141553,0.00968188346395
-3,11.057193114986509,37.09568521681581,295.4253616043915,-0.18636287955148503
-2,10.788764705563993,36.78606619365365,295.25821083598925,-0.3387149009625408
-1,11.941552726113393,37.160695374257536,295.7298006086158,-0.5099376082099782
0,12.148303040883098,36.89076403508669,295.39940347738116,-0.5385860650119074
1,13.620291234002096,36.8313850566241,296.30863309590177,-0.7820845510907696
2,15.523417987098403,37.01128182981018,296.541456206805,-0.9001555373330815
3,16.895200591719995,36.94621827488998,296.51780974411446,-0.9596029023213624
4,18.083095922891747,36.908770595267384,297.50772693371454,-1.0233510153586178
5,19.799985990762508,37.26275359358598,297.7314078664453,-1.0866733908811685
6,21.34278312115747,37.20307978168305,298.44102581971896,-1.136444520659418
7,22.59007513937131,37.34319496107874,299.14017220834313,-1.1809231190365639
8,24.732388960426686,37.132860363723644,300.3066196964384,-1.2116882646223306
9,26.090684332580594,37.310950155929866,300.7554103359332,-1.2359538022101635
10,27.961734173911463,37.60056261681161,302.3293157274923,-1.2794428951974937
11,30.52272300305702,37.58535523993108,303.6518524177918,-1.2931659515261422
12,31.982636677690778,37.71651560712055,304.9181157340892,-1.3218150482465962
13,33.72962730295972,38.03754426144002,306.3602507395506,-1.335111662267111
14,35.694328466149095,38.306175643932924,308.17249255698795,-1.3530425043423702
15,37.4780185342789,38.25789160253287,309.68894748734414,-1.3715937845916752
16,39.92048219778999,38.798015258933155,312.22162519817493,-1.3869788790167135
17,41.42225761407999,38.634424191259605,314.2793572625632,-1.3857505631319098
18,43.8434945074005,39.40280475571927,316.81704272938873,-1.4049179996390848
19,45.62284967389291,39.72574574776787,319.4848829857071,-1.4145390923500634
20,47.509810118135086,40.09222734005882,322.19140986052145,-1.4298391753382578
21,49.13588689512625,40.38441930874275,324.97289085377025,-1.4421910455382292
22,50.814151339049516,40.66972336456539,327.84566180793195,-1.4419691243538353
23,52.26769135797523,41.159899044969244,330.4482989655504,-1.4357712208608786
24,54.418125709969765,41.851019095418614,335.05640187758223,-1.4480621468530381
25,56.15721811586179,42.08345392361776,338.53154676362766,-1.4515252223365753
26,57.720948962901105,42.48361918019261,341.79079455566335,-1.4590391325635677
27,59.403559957770334,43.32264968842539,345.6820776853449,-1.4622584945343038
28,60.55457361872496,43.83437048770988,350.29750804878694,-1.4683391319506167
29,61.75634816293999,44.657143156918295,353.43527820328455,-1.464434321297845
30,62.61854498825527,44.70461473615175,357.4441192071792,-1.468751672492161
31,63.319323173652926,45.705613187623804,361.82247757887944,-1.4715630384226583
32,64.15936211497875,46.102859539204836,365.45789593219223,-1.469836094393339
33,64.54774963479298,46.61390285378199,369.6398461417953,-1.4701907500974671
34,65.01177271641644,47.97061016309191,374.6374458950208,-1.46846824765134
35,65.41739404008497,48.61574612339976,380.69057685642616,-1.4695761297936383
