Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz
-35,16777.848047074796,11761.119560536765,82182.83456162827
-34,16459.213829243447,11706.188289433598,81577.07291909373
-33,17534.573835714156,12172.70534794777,86526.40988225739
-32,17043.510523773675,12153.3976044685,86056.23534069653
-31,16772.866937565796,11799.560688347712,85419.00393941281
-30,16702.228823266603,11941.861703406075,84870.60021966936
-29,16240.0017060903,11651.87647643805,84176.61602616175
-28,15962.968635574764,11653.21399517056,83953.40533978527
-27,15290.118207308868,11509.973742073378,83404.51912932517
-26,14998.527261183208,11516.969477452958,82907.71328537562
-25,14658.236383890158,11366.415059623218,82511.72487500698
-24,14121.590240125564,11260.054560155831,82217.47237184118
-23,13599.613357012397,11276.253400681975,81880.5570035279
-22,13042.296939509422,11131.807555938924,81540.2399851184
-21,12720.07768710391,10976.253510886663,81379.67645400351
-20,12138.214622863756,11008.26691322863,81033.62737784044
-19,11744.657030367372,10932.373333851345,81078.0868673781
-18,11435.998527666366,11106.297555933324,80776.40433666993
-17,10916.441551926324,10836.00342736652,80676.04313035053
-16,10224.65485078178,10883.5261639552,80381.85216344749
-15,9632.427571708153,10760.327349684654,80308.96402512313
-14,9321.026090728295,10756.96195272211,80244.62977132073
-13,8783.144332515336,10744.069547800384,80158.65686635909
-12,8410.187643710962,10729.494999497236,80054.24675191534
-11,7885.83387632253,10482.03040066636,79995.56498017811
-10,6996.027581206429,10517.027307840748,79880.23247874212
-9,6159.791631567196,9749.955445187292,74972.738027307
-8,6036.778667184442,10611.46350531135,79924.70305284658
-7,5560.05928483147,10432.455658399878,80032.65149144562
-6,4917.839607898187,10445.13194752126,79877.78270528086
-5,4679.35122768687,10461.162050694964,80124.58027912848
-4,4245.9274149693865,10512.398269983622,80224.38648651271
-3,3716.444001444127,10375.274370414754,80536.60002913514
-2,3470.661114936364,10253.181849236438,80440.53642906324
-1,3121.935579769808,10419.801480005866,81056.52464092063
0,3008.31650453971,10346.522313185033,80874.078351912
1,3033.5654587907125,10369.402227427048,81338.43588790033
2,3329.5104989152187,10483.762407747548,81710.78854140421
3,3639.706206108909,9889.417091975844,77022.74486029733
4,4143.143224098828,10331.69371859514,82568.29300549615
5,4710.030517013435,10603.488835695764,82889.41093604933
6,5078.745017710873,10421.830477333697,83299.53924709663
7,6021.195393186236,10473.094285043282,83864.06353523461
8,6745.764678914066,10625.986312115689,84522.3111583801
9,7260.737323758431,10605.74342733962,84831.60516098815
10,8109.637579909887,10586.341634104358,85654.50859591064
11,9051.88989222036,10720.182704401015,86358.91231417113
12,10195.965302142333,10879.838309504112,87079.86728724877
13,10980.744932658155,10769.843545875794,87835.47123277732
14,11732.618831972532,10764.894425076558,88440.18969087073
15,13158.702309830196,10958.14025331005,89544.51490620841
16,13885.223238107665,10991.853001476364,90297.06563756362
17,13927.691005147391,10443.948027584727,85527.28344971965
18,16218.51622457207,11268.884561069965,92505.80629175714
19,16164.837671671268,10675.916543122788,87556.88272801982
20,17492.002067811227,10622.96039682264,88990.61358991741
21,19876.888088473675,11550.30318812967,96285.99969713956
22,20993.418437332773,11668.645962214629,97682.19792389806
23,22156.064815432324,11851.33214214121,99039.69737716176
24,23839.25973312789,11990.572585656037,100720.1632603782
25,25460.000047116275,12237.999275249776,102995.99025773189
26,26821.49546183575,12434.85057576979,104743.22285318033
27,28413.30612326113,12546.11791437977,107013.22006911004
28,30345.484308532206,12860.676569289357,109768.68398488544
29,31667.811089917155,13090.33462406052,111530.42966747268
30,33168.88762529014,13381.22396700106,114058.86339101782
31,34906.58172785371,13851.618863503976,116982.41989524514
32,36680.56024090093,14150.295721321652,119870.18184617258
33,38460.03789142729,14621.476426414503,123029.29247661465
34,40658.43458733819,15369.469577852871,127743.1778412778
35,42703.107532832255,15877.64959668682,132243.095236461
