angle,c_angle,error,Trial
-35,-32,3,0
-34,-31,3,0
-33,-29,4,0
-32,-28,4,0
-31,-27,4,0
-30,-27,3,0
-29,-25,4,0
-28,-23,5,0
-27,-21,6,0
-26,-19,7,0
-25,-20,5,0
-24,-20,4,0
-23,-17,6,0
-22,-16,6,0
-21,-12,9,0
-20,-9,11,0
-19,-11,8,0
-18,-10,8,0
-17,-11,6,0
-16,-9,7,0
-15,-9,6,0
-14,-9,5,0
-13,-9,4,0
-12,-9,3,0
-11,-9,2,0
-10,-9,1,0
-9,-8,1,0
-8,-7,1,0
-7,-6,1,0
-6,-6,0,0
-5,-5,0,0
-4,-4,0,0
-3,-3,0,0
-2,-2,0,0
-1,0,1,0
0,0,0,0
1,1,0,0
2,2,0,0
3,4,1,0
4,4,0,0
5,5,0,0
6,5,1,0
7,7,0,0
8,7,1,0
9,8,1,0
10,8,2,0
11,10,1,0
12,10,2,0
13,12,1,0
14,12,2,0
15,12,3,0
16,12,4,0
17,12,5,0
18,12,6,0
19,12,7,0
20,14,6,0
21,14,7,0
22,18,4,0
23,14,9,0
24,18,6,0
25,19,6,0
26,19,7,0
27,21,6,0
28,22,6,0
29,24,5,0
30,24,6,0
31,26,5,0
32,27,5,0
33,28,5,0
34,29,5,0
35,31,4,0
