a,b,c,d
-6.734198966357795e-05,0.003797272449601638,-0.259242444403851,-0.9693350017456313
1.717629123697079e-05,0.001272058665758687,-0.210880400011885,-0.7584506927196738
2.6740290660507932e-05,0.00071184188122098,-0.1587224218589365,-0.7775576280915298
2.7032735871446468e-05,0.0003955048600102565,-0.11955808007174504,-0.7377608105466773
2.5364393459795598e-05,0.0002438917261743047,-0.09081039805549415,-0.6289515676876861
2.524842675433717e-05,0.0001361777741935634,-0.07120410993370138,-0.5606342548162289
